,formatted_address
0,"820 Mill Creek Rd, Walla Walla, WA 99362, USA"
1,"8252 Redstone Ave SE, Salem, OR 97306, USA"
2,"140 NE Hill St, Albany, OR 97321, USA"
3,"845 NE 5th St, McMinnville, OR 97128, USA"
4,"37245 SW Nature Dr, Cornelius, OR 97113, USA"
5,"701 NE 3rd St, McMinnville, OR 97128, USA"
6,"Winston, OR 97496, USA"
7,"71 Gangl Rd, Wapato, WA 98951, USA"
8,"15330 Old Hwy 99 S, Myrtle Creek, OR 97457, USA"
9,"9995 NE Parrett Mountain Rd, Newberg, OR 97132, USA"
10,"522 SE Washington Ave, Roseburg, OR 97470, USA"
11,"271 Auspland Dr, Underwood, WA 98651, USA"
12,"5641 US-12, Walla Walla, WA 99362, USA"
13,"14 W Main St, Walla Walla, WA 99362, USA"
14,"84038 Eastside Rd, 500 East Broadway, Milton-Freewater, OR 97862, USA"
15,"111 Balch Rd, Lyle, WA 98635, USA"
16,"1600 Oak Grove Rd, Salem, OR 97304, USA"
17,"5858 Old Hwy 12, Walla Walla, WA 99362, USA"
18,"1420 70th Ave SE, Salem, OR 97317, USA"
19,"Milton-Freewater, OR 97862, USA"
20,"24260 NW Turner Creek Rd, Yamhill, OR 97148, USA"
21,"85162 McBeth Rd, Eugene, OR 97405, USA"
22,"4008 NE Zimri Dr, Newberg, OR 97132, USA"
23,"309 Gangl Rd, Wapato, WA 98951, USA"
24,"1665 Eastside Rd, Jacksonville, OR 97530, USA"
25,"3189 OR-35, Hood River, OR 97031, USA"
26,"3796 Peppers Bridge Rd, Walla Walla, WA 99362, USA"
27,"301 Johnson Ave, Lyle, WA 98635, USA"
28,"4115 NE 259th St, Ridgefield, WA 98642, USA"
29,"8115 NE Worden Hill Rd, Dundee, OR 97115, USA"
30,"979 SW Alder St, Dundee, OR 97115, USA"
31,"981 Old Garden Valley Rd, Roseburg, OR 97471, USA"
32,"12995 NW Bishop Rd, Hillsboro, OR 97124, USA"
33,"1754 Best Rd NW, Salem, OR 97304, USA"
34,"6250 NE Hilltop Ln, Dayton, OR 97114, USA"
35,"1460 F St, Walla Walla, WA 99362, USA"
36,"12251 Southeast Dayton Bypass, OR-18, Dayton, OR 97114, USA"
37,"20N N 2nd Ave, Walla Walla, WA 99362, USA"
38,"16473 Chicken Dinner Rd, Caldwell, ID 83607, USA"
39,"18655 NE Trunk Rd, Dundee, OR 97115, USA"
40,"330 Kubli Rd, Grants Pass, OR 97527, USA"
41,"10880 NE Mineral Springs Rd, Carlton, OR 97111, USA"
42,"26421 OR-47, Gaston, OR 97119, USA"
43,"52874 County Rd, Milton-Freewater, OR 97862, USA"
44,"128 S Pine St, Carlton, OR 97111, USA"
45,"17150 NE Hillside Dr, Newberg, OR 97132, USA"
46,"19960 NE Ribbon Ridge Rd, Newberg, OR 97132, USA"
47,"1966 NW Pettygrove St, Portland, OR 97209, USA"
48,"2016 NE Zimri Dr, Newberg, OR 97132, USA"
49,"213 Independence Ln, Roseburg, OR 97471, USA"
50,"12345 Oak Rd NW, Salem, OR 97304, USA"
51,"18760 NE Laughlin Rd, Yamhill, OR 97148, USA"
52,"106 S Center St, Newberg, OR 97132, USA"
53,"Territorial Hwy, Eugene, OR 97405, USA"
54,"9675 Hopewell Rd NW, Salem, OR 97304, USA"
55,"19495 SW Vista Hill Dr, Hillsboro, OR 97123, USA"
56,"50 E 11th Ave, Eugene, OR 97401, USA"
57,"32230 NE Old Parrett Mountain Rd, Newberg, OR 97132, USA"
58,"34965 OR-53, Nehalem, OR 97131, USA"
59,"1670 Pioneer Rd, Talent, OR 97540, USA"
60,"30835 OR-99W, Newberg, OR 97132, USA"
61,"28155 NE Bell Rd, Newberg, OR 97132, USA"
62,"1416 SE Stark St, Portland, OR 97214, USA"
63,"801 N Scott St, Carlton, OR 97111, USA"
64,"9092 Jackson Hill Rd SE, Salem, OR 97306, USA"
65,"6080 Bethel Heights Rd NW, Salem, OR 97304, USA"
66,"839 C St, Walla Walla, WA 99362, USA"
67,"215 Doaks Ferry Rd NW, Salem, OR 97304, USA"
68,"840 C St, Walla Walla, WA 99362, USA"
69,"19255 OR-99W, Dayton, OR 97114, USA"
70,"760 C St, Walla Walla, WA 99362, USA"
71,"17940 NE Kings Grade, Newberg, OR 97132, USA"
72,"1808 Country Club Rd, Hood River, OR 97031, USA"
73,"6049 Bethel Heights Rd NW, Salem, OR 97304, USA"
74,"Newberg, OR 97132, USA"
75,"3511 SW Kanan Dr, Portland, OR 97221, USA"
76,"191 W Main St, Mt Vernon, OR 97865, USA"
77,"1326 OR-99W # 100, Dundee, OR 97115, USA"
78,"175 E Aeronca Ave, Walla Walla, WA 99362, USA"
79,"3635 Bethel Heights Rd NW, Salem, OR 97304, USA"
80,"2131 Little Applegate Rd, Jacksonville, OR 97530, USA"
81,"9500 NE Oak Springs Farm Rd, Carlton, OR 97111, USA"
82,"340 Busenbark Ln, Roseburg, OR 97471, USA"
83,"111 W Main St, Echo, OR 97826, USA"
84,"53863 Hwy 332, Sunnyside Rd, Milton-Freewater, OR 97862, USA"
85,"25040 Jaeg Rd, Junction City, OR 97448, USA"
86,"11665 Airlie Rd, Monmouth, OR 97361, USA"
87,"304 Oak St Suite #3, Hood River, OR 97031, USA"
88,"25944 Green Peak Rd, Monroe, OR 97456, USA"
89,"11412 OR-238, Jacksonville, OR 97530, USA"
90,"1038 SW Alder St, Portland, OR 97205, USA"
91,"4730 London Dr, Mt Hood, OR 97041, USA"
92,"2565 Riverside Dr S, Salem, OR 97306, USA"
93,"25167 Ferguson Rd, Junction City, OR 97448, USA"
94,"11900 S Criteser Rd, Oregon City, OR 97045, USA"
95,"3783 Peppers Bridge Rd, Walla Walla, WA 99362, USA"
96,"85728 Telephone Pole Rd, Milton-Freewater, OR 97862, USA"
97,"20440 NE Ribbon Ridge Rd, Newberg, OR 97132, USA"
98,"8800 Enchanted Way SE, Turner, OR 97392, USA"
99,"22 US-101, Depoe Bay, OR 97341, USA"
100,"195 E Palmer Ave, Cottage Grove, OR 97424, USA"
101,"24880 Orchard Tract Rd, Monroe, OR 97456, USA"
102,"26631 Alpine Cut Off Rd, Monroe, OR 97456, USA"
103,"18605 NE Calkins Ln, Newberg, OR 97132, USA"
104,"1329 Larson Rd, Roseburg, OR 97471, USA"
105,"29700 SW Burkhalter Rd, Hillsboro, OR 97123, USA"
106,"28836 S Barlow Rd, Canby, OR 97013, USA"
107,"840 Beltline Rd, Springfield, OR 97477, USA"
108,"425 SW Powerhouse Dr #301, Bend, OR 97702, USA"
109,"17325 NE Calkins Ln, Newberg, OR 97132, USA"
110,"8400 Champoeg Rd NE, St Paul, OR 97137, USA"
111,"212 N 3rd Ave, Walla Walla, WA 99362, USA"
112,"13615 NW Mason Hill Rd, North Plains, OR 97133, USA"
113,"13101 NW Fox Ridge Rd, McMinnville, OR 97128, USA"
114,"5657 Zena Rd NW, Salem, OR 97304, USA"
115,"646 SE Jackson St, Roseburg, OR 97470, USA"
116,"301 Country Club Rd, Hood River, OR 97031, USA"
117,"4693 Westwood Dr, Hood River, OR 97031, USA"
118,"731 SW 21st St, Chehalis, WA 98532, USA"
119,"150 E Boeing Ave, Walla Walla, WA 99362, USA"
