review_id,winery,vintage,designation,variety,score,category,title,ava,region,province,country,release_price,source,brand_id
0,Hawkins Cellars,2009.0,,Pinot Noir,86,Red,Hawkins Cellars 2009 Pinot Noir (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$22.0,Wine Enthusiest,106
1,Le Cadeau,2014.0,,Pinot Noir,91,Red,Le Cadeau 2014 Pinot Noir (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$38.0,Wine Enthusiest,372
2,Amity Vineyards,2006.0,Estate Single Vineyard,Pinot Noir,85,Red,Amity 2006 Estate Single Vineyard Pinot Noir (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$45.0,Wine Enthusiest,502
3,Willamette Valley Vineyards,2009.0,Estate,Pinot Noir,89,Red,Willamette Valley Vineyards 2009 Estate Pinot Noir (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$40.0,Wine Enthusiest,5
4,Chehalem,2011.0,Ridgecrest Vineyards,Pinot Noir,92,Red,Chehalem 2011 Ridgecrest Vineyards Pinot Noir (Ribbon Ridge),Ribbon Ridge,Willamette Valley,Oregon,US,$50.0,Wine Enthusiest,38
5,Chehalem,2012.0,Stoller Vineyards,Pinot Blanc,92,White,Chehalem 2012 Stoller Vineyards Pinot Blanc (Dundee Hills),Dundee Hills,Willamette Valley,Oregon,US,$29.0,Wine Enthusiest,38
6,Le Cadeau,2011.0,Blanc de Noir,Sparkling Blend,91,Sparkling,Le Cadeau 2011 Blanc de Noir Sparkling (Oregon),,Oregon Other,Oregon,US,$50.0,Wine Enthusiest,372
7,Le Cadeau,2015.0,Diversité,Pinot Noir,91,Red,Le Cadeau 2015 Diversité Pinot Noir (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$50.0,Wine Enthusiest,372
8,Le Cadeau,2015.0,Équinoxe,Pinot Noir,91,Red,Le Cadeau 2015 Équinoxe Pinot Noir (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$50.0,Wine Enthusiest,372
9,Quady North,2011.0,Bomba,Grenache,87,Red,Quady North 2011 Bomba Grenache (Rogue Valley),Rogue Valley,Southern Oregon,Oregon,US,$25.0,Wine Enthusiest,335
10,Quady North,2011.0,Steel-Ox,Viognier,87,White,Quady North 2011 Steel-Ox Viognier (Rogue Valley),Rogue Valley,Southern Oregon,Oregon,US,$25.0,Wine Enthusiest,335
11,WillaKenzie Estate,2013.0,Aliette,Pinot Noir,92,Red,WillaKenzie Estate 2013 Aliette Pinot Noir,Willamette Valley,,Oregon,US,$48.0,Wine Enthusiest,452
12,Delfino,2014.0,,Cabernet Sauvignon,85,Red,Delfino 2014 Cabernet Sauvignon (Umpqua Valley),Umpqua Valley,Southern Oregon,Oregon,US,$28.0,Wine Enthusiest,216
13,J. Scott Cellars,2015.0,,Albariño,90,White,J. Scott Cellars 2015 Albariño (Oregon),,Oregon Other,Oregon,US,$18.0,Wine Enthusiest,383
14,Fullerton,2015.0,Three Otters Pinot Noir,Rosé,87,Rosé,Fullerton 2015 Three Otters Pinot Noir Rosé (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$18.0,Wine Enthusiest,269
15,Chehalem,2013.0,Ian's Reserve,Chardonnay,87,White,Chehalem 2013 Ian's Reserve Chardonnay (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$40.0,Wine Enthusiest,38
16,Chehalem,2015.0,Stoller Vineyards,Pinot Blanc,87,White,Chehalem 2015 Stoller Vineyards Pinot Blanc (Dundee Hills),Dundee Hills,Willamette Valley,Oregon,US,$29.0,Wine Enthusiest,38
17,Lachini,2007.0,,Pinot Grigio,88,White,Lachini 2007 Pinot Gris (Oregon),,Oregon Other,Oregon,US,$20.0,Wine Enthusiest,241
18,Amity Vineyards,2006.0,,Riesling,88,White,Amity 2006 Riesling (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$17.0,Wine Enthusiest,502
19,Honeywood Winery,2006.0,,Pinot Noir,85,Red,Honeywood Winery 2006 Pinot Noir (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$24.0,Wine Enthusiest,381
20,Bergström,2015.0,Bergström Vineyard,Pinot Noir,94,Red,Bergström 2015 Bergström Vineyard Pinot Noir (Dundee Hills),Dundee Hills,Willamette Valley,Oregon,US,$95.0,Wine Enthusiest,385
21,Bergström,2015.0,Shea Vineyard,Pinot Noir,94,Red,Bergström 2015 Shea Vineyard Pinot Noir,Willamette Valley,,Oregon,US,$62.0,Wine Enthusiest,385
22,Bergström,2015.0,Old Stones,Chardonnay,94,White,Bergström 2015 Old Stones Chardonnay (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$35.0,Wine Enthusiest,385
23,Big Table Farm,2015.0,Elusive Queen,Chardonnay,94,White,Big Table Farm 2015 Elusive Queen Chardonnay (Willamette Valley),Willamette Valley,Willamette Valley,Oregon,US,$85.0,Wine Enthusiest,29
24,Schmidt Family Vineyards,2011.0,,Malbec,88,Red,Schmidt 2011 Malbec (Southern Oregon),Southern Oregon,Southern Oregon,Oregon,US,$36.0,Wine Enthusiest,235
25,Bergström,2010.0,Temperance Hill,Pinot Noir,92,Red,Bergström 2010 Temperance Hill Pinot Noir (Eola-Amity Hills),Eola-Amity Hills,Willamette Valley,Oregon,US,$60.0,Wine Enthusiest,385
26,Quady North,2007.0,Flagship,Syrah,90,Red,Quady North 2007 Flagship Syrah (Applegate Valley),Applegate Valley,Southern Oregon,Oregon,US,$65.0,Wine Enthusiest,335
