price,rating,title,source,designation,winery,category,vintage,ava,region,province,country,varietal
$13,88,The Great Oregon Wine Company 2021 Rascal Pinot Noir (Oregon),Wine Enthusiast,Rascal,The Great Oregon Wine Company,Red,2021,,Oregon Other,Oregon,US,Pinot Noir
$19,86,Wine by Joe 2019 Pinot Noir (Oregon),Wine Enthusiast,,Wine by Joe,Red,2019,,Oregon Other,Oregon,US,Pinot Noir
$15,88,Duck Pond Cellars 2021 Oregon Wine Co. Chardonnay (Oregon),Wine Enthusiast,Oregon Wine Co.,Duck Pond Cellars,White,2021,,Oregon Other,Oregon,US,Chardonnay
$75,92,Domaine Drouhin 2019 Laurene Pinot Noir (Dundee Hills),Wine Enthusiast,Laurene,Domaine Drouhin,Red,2019,Dundee Hills,Willamette Valley,Oregon,US,Pinot Noir
$40,90,Portlandia 2019 Momtazi Vineyard Pinot Noir (Willamette Valley),Wine Enthusiast,Momtazi Vineyard,Portlandia,Red,2019,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$33,88,Matzinger Davies 2018 Unabridged Sauvignon Blanc (Columbia Gorge (OR)),Wine Enthusiast,Unabridged,Matzinger Davies,White,2018,Columbia Gorge (OR),Oregon Other,Oregon,US,Sauvignon Blanc
$33,93,Élevée Winegrowers 2020 Ridgecrest Vineyard Riesling (Ribbon Ridge),Wine Enthusiast,Ridgecrest Vineyard,Élevée Winegrowers,White,2020,Ribbon Ridge,Willamette Valley,Oregon,US,Riesling
$90,91,Granville 2017 Holstein Vineyard Blanc de Noir Sparkling (Dundee Hills),Wine Enthusiast,Holstein Vineyard Blanc de Noir,Granville,Sparkling,2017,Dundee Hills,Willamette Valley,Oregon,US,Sparkling Blend
$25,88,Ashlyn 2019 Pinot Noir (Willamette Valley),Wine Enthusiast,,Ashlyn,Red,2019,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$55,97,Domaine Divio 2020 Chardonnay (Willamette Valley),Wine Enthusiast,,Domaine Divio,White,2020,Willamette Valley,Willamette Valley,Oregon,US,Chardonnay
$48,94,Day 2019 Belle Pente Vineyard Chardonnay (Yamhill-Carlton),Wine Enthusiast,Belle Pente Vineyard,Day,White,2019,Yamhill-Carlton,Willamette Valley,Oregon,US,Chardonnay
$54,93,Day 2019 Momtazi Vineyard Pinot Noir (McMinnville),Wine Enthusiast,Momtazi Vineyard,Day,Red,2019,McMinnville,Willamette Valley,Oregon,US,Pinot Noir
$95,92,Adelsheim 2015 Sparkling Blanc de Blancs Sparkling (Willamette Valley),Wine Enthusiast,Sparkling Blanc de Blancs,Adelsheim,Sparkling,2015,Willamette Valley,Willamette Valley,Oregon,US,Sparkling Blend
$35,92,Alexana 2019 Terroir Series Chardonnay (Willamette Valley),Wine Enthusiast,Terroir Series,Alexana,White,2019,Willamette Valley,Willamette Valley,Oregon,US,Chardonnay
$24,90,Day 2020 Isla Vermentino (Applegate Valley),Wine Enthusiast,Isla,Day,White,2020,Applegate Valley,Southern Oregon,Oregon,US,Vermentino
$18,90,Domaine Loubejac 2020 Chardonnay (Willamette Valley),Wine Enthusiast,,Domaine Loubejac,White,2020,Willamette Valley,Willamette Valley,Oregon,US,Chardonnay
