,winery,vintage,variety,designation,release_price,rating,title,source,category,AVA,region,province,country,description
0,Griffin Creek,2011,Cabernet Franc,,$40,91,Griffin Creek 2011 Cabernet Franc Rogue Valley,"Wine Spectator Magazine Issue Feb 28, 2015",,Rogue Valley,Southern Oregon,Oregon,US,"Soft, ripe, generous and precise, this open-textured example of Cabernet Franc offers lovely red plum and cherry fruit, with just enough herb and funk overtones to add interest. Elegant. Drink now through 2018. 742 cases made."
1,Quady North,2011,Arsenal,,$40,86,Quady North 2011 Arsenal Rogue Valley,"Wine Spectator Magazine Issue Feb 02, 2017",,Rogue Valley,Southern Oregon,Oregon,US,"A snappy red, if modest in scale, with blackberry and grilled herb flavors. Cabernet Franc and Merlot. Drink now through 2018. 203 cases made."
2,Del Rio,2011,Cabernet Sauvignon,,$28,90,Del Rio 2011 Cabernet Sauvignon Rogue Valley,"Wine Spectator Magazine Issue Feb 28, 2014",,Rogue Valley,Southern Oregon,Oregon,US,"A vibrant, medium-weight red, with ripe plum and currant fruit, shaded with hints of apricot and spice. This comes together seamlessly on the refined finish. Drink now through 2020. 750 cases made."
3,Griffin Creek,2011,Cabernet Sauvignon,,$40,86,Griffin Creek 2011 Cabernet Sauvignon Rogue Valley,"Wine Spectator Magazine Issue Feb 28, 2015",,Rogue Valley,Southern Oregon,Oregon,US,"Lean, spicy and firmly tannic, offering billowing red pepper, red berry and wet earth flavors that persist into a lively finish. Drink now through 2018. 458 cases made."
4,Domaine Serene,2011,Chardonnay,Récolte Grand Cru,$125,94,Domaine Serene 2011 Chardonnay Dundee Hills Récolte Grand Cru,"Wine Spectator Magazine Issue Feb 28, 2015",,Dundee Hills,Willamette Valley,Oregon,US,"Tangy, with vibrant acidity and expressive, ripe and citrusy flavors. Offers a distinctive profile of star fruit and quince, homing in on pineapple and mineral notes as the taut finish lingers. Drink now through 2020. 150 cases made."
5,Evening Land,2011,Chardonnay,Seven Springs Vineyard La Source,$65,94,Evening Land 2011 Chardonnay Eola-Amity Hills Seven Springs Vineyard La Source,"Wine Spectator Magazine Issue Nov 30, 2013",,Eola-Amity Hills,Willamette Valley,Oregon,US,"Vibrant, expressive, focused and concentrated, dancing lightly with an array of toast- and mineral-accented peach, pear, lime and orange blossom flavors, lingering enticingly against refined acidity. Best from 2015 through 2019. 438 cases made."
6,Bergström,2011,Chardonnay,Sigrid,$80,93,Bergström 2011 Chardonnay Willamette Valley Sigrid,"Wine Spectator Magazine Issue Oct 31, 2013",,Willamette Valley,Willamette Valley,Oregon,US,"Lively, vibrant, silky and focused, this is an elegant wine that delivers a bright beam of apple, pear, cream and pecan flavors on a frame punctuated by lively citrus notes. Drink now through 2017. 490 cases made."
7,Domaine Drouhin,2011,Chardonnay,Édition Limitée,$65,93,Domaine Drouhin 2011 Chardonnay Dundee Hills Édition Limitée,"Wine Spectator Magazine Issue Nov 30, 2013",,Dundee Hills,Willamette Valley,Oregon,US,"Polished, ripe and deft, playing the refreshing pear, quince and spice flavors against gentle acidity, lingering into an expressive finish. Shows integrity, balance and intensity. Drink now through 2018. 111 cases made."
8,Domaine Serene,2011,Chardonnay,Evenstad Reserve,$55,93,Domaine Serene 2011 Chardonnay Dundee Hills Evenstad Reserve,"Wine Spectator Magazine Issue Nov 30, 2013",,Dundee Hills,Willamette Valley,Oregon,US,"Sleek, silky and beautifully focused, with hints of lime blossom and clove accenting the pear and apple flavors, coming together on the graceful finish. Has intensity without weight, lingering appealingly. Drink now through 2016. 1,200 cases made."
9,Ayoub,2011,Chardonnay,,$45,92,Ayoub 2011 Chardonnay Dundee Hills,"Wine Spectator Magazine Issue Nov 30, 2013",,Dundee Hills,Willamette Valley,Oregon,US,"An almond undertone runs through this open-textured, focused and appealing Chardonnay, with flavors centering on green apple, quince and gentle spices, lingering easily on the graceful finish. Drink now through 2019. 119 cases made."
