place_id,name,status,phone,formatted_address,gmaps_url,website,rating,totatl_reviews,street_address,city,province,zipcode,country,empty,brand,brand_id,central_lat,central_lon,northeast_lat,northeast_lon,southwest_lat,southwest_lon
ChIJY_YvLqs_lVQRQ1JGKPCC-qA,Beaux Frères,OPERATIONAL,(503) 537-1137," 15155 NE North Valley Rd,  Newberg, OR, 97132,  USA",https://maps.google.com/?cid=11599727758225592899,http://www.beauxfreres.com/,4.9,57.0, 15155 NE North Valley Rd, Newberg,OR,97132, USA,,Beaux Frères,0,45.34762389999999,-123.0936571,45.3489524302915,-123.0923680197085,45.3462544697085,-123.0950659802915
ChIJb07wO0IUlVQRpT7hr_IPjrc,Ruby Vineyard,OPERATIONAL,(503) 628-7829,"30088 SW Egger Rd,  Hillsboro, OR, 97123,  USA",https://maps.google.com/?cid=13226526690641002149,http://www.rubyvineyard.com/,4.7,83.0,30088 SW Egger Rd, Hillsboro,OR,97123, USA,,Ruby Vineyard,1,45.40038819999999,-122.9869325,45.40193678029149,-122.9850769697085,45.39923881970849,-122.9877749302915
ChIJ0837TqdBlVQR8w_X_SPvVx4,Dobbes Family Estate,OPERATIONAL,(503) 538-1141,"240 SE 5th St,  Dundee, OR, 97115,  USA",https://maps.google.com/?cid=2186479081973288947,http://dobbesfamilyestate.com/,4.7,94.0,240 SE 5th St, Dundee,OR,97115, USA,,Dobbes Family Estate,2,45.2795302,-123.0078417,45.28064498029149,-123.0067110197085,45.27794701970849,-123.0094089802915
ChIJ22vW2sjFolQRohtq-192_d0,FireThorn Vineyard,OPERATIONAL,(206) 391-6709,"75049 Snow Rd,  Echo, OR, 97826,  USA",https://maps.google.com/?cid=15996071606101875618,http://www.firethornvineyard.com/contact/,5.0,1.0,75049 Snow Rd, Echo,OR,97826, USA,,FireThorn Vineyard,3,45.72194710000001,-119.1918038,45.72329608029151,-119.1904548197085,45.72059811970851,-119.1931527802915
ChIJZS1JIJ05xFQRBC3XPLxiy0o,Freed Estate Vineyards,OPERATIONAL,(808) 551-9998,"430 Hooten Rd,  Winston, OR, 97496,  USA",https://maps.google.com/?cid=5389509939693038852,http://www.freedestatewinery.com/,5.0,33.0,430 Hooten Rd, Winston,OR,97496, USA,,Freed Estate Vineyards,4,43.115009,-123.39355,43.1167391802915,-123.3922426197085,43.1140412197085,-123.3949405802915
ChIJEZsIboQIwFQRNy3yOiTKe_Y,Willamette Valley Vineyards,OPERATIONAL,(503) 588-9463,"8800 Enchanted Way SE,  Turner, OR, 97392,  USA",https://maps.google.com/?cid=17761011812422266167,http://www.wvv.com/,4.7,673.0,8800 Enchanted Way SE, Turner,OR,97392, USA,,Willamette Valley Vineyards,5,44.82778169999999,-123.0123551,44.8291171802915,-123.0110208197085,44.8264192197085,-123.0137187802915
ChIJn5MXyjQ9lVQRvfzTTYvgfSI,Cherry Grove Vineyard,OPERATIONAL,(503) 985-3513,"49969 SW Patton Valley Rd,  Gaston, OR, 97119,  USA",https://maps.google.com/?cid=2485389458289196221,https://www.cherrygrovevineyard.com/,5.0,1.0,49969 SW Patton Valley Rd, Gaston,OR,97119, USA,,Cherry Grove Vineyard,6,45.4441154,-123.1941181,45.4454538302915,-123.1929544697085,45.4427558697085,-123.1956524302915
ChIJ_ZDTaZZzlVQRBnA2k9StH8M,Oswego Hills Vineyard,OPERATIONAL,(503) 655-2599,"450 Rosemont Rd,  West Linn, OR, 97068,  USA",https://maps.google.com/?cid=14060147690188468230,https://www.oswegohills.com/,4.5,74.0,450 Rosemont Rd, West Linn,OR,97068, USA,,Oswego Hills Vineyard,7,45.3870262,-122.674398,45.38870213029149,-122.6727317197085,45.3860041697085,-122.6754296802915
ChIJkxfV22gOllQRsg6ngubxivI,The Pines 1852,OPERATIONAL,(541) 993-8301,"415 Oak St,  Hood River, OR, 97031,  USA",https://maps.google.com/?cid=17477047276301389490,http://www.thepinesvineyard.com/,4.6,79.0,415 Oak St, Hood River,OR,97031, USA,,,8,45.7086461,-121.5151932,45.7101088302915,-121.5138608197085,45.7074108697085,-121.5165587802915
ChIJs-4c3txIlVQR6UVxrpn_h7U,Ransom Wine Co. & Distillery Tasting Room,OPERATIONAL,(503) 472-2493,"23145 OR-99W,  Dundee, OR, 97115,  USA",https://maps.google.com/?cid=13080704678242633193,http://www.ransomspirits.com/,4.9,14.0,23145 OR-99W, Dundee,OR,97115, USA,,Ransom,9,45.2904641,-122.999178,45.2916431802915,-122.9976592697085,45.2889452197085,-123.0003572302915
