County,Est Acres,% of Acres
Yamhill,"14,501",33.90%
Jackson,"3,939",9.70%
Douglas,"3,855",9.30%
Polk,"3,549",8.50%
Marion,"2,598",6.00%
Washington,"2,514",5.80%
Lane,"2,430",6.10%
Benton,"1,990",5.00%
Josephine,"1,948",4.90%
Umatilla,"1,278",3.00%
Clackamas,771,1.80%
Hood River,587,1.40%
Multnomah,536,1.30%
Wasco,360,0.80%
Malheur,230,0.70%
Linn,180,0.40%
Deschutes,142,0.40%
Jefferson,126,0.30%
Sherman,101,0.20%
Baker,50,0.10%
Coos,50,0.10%
Wallowa,36,0.10%
Columbia,34,0.10%
Wheeler,34,0.10%
Clatsop,25,0.10%
Klamath,17,0.00%
Tillamook,8,0.00%
Crook, -   ,0.00%
Curry, -   ,0.00%
Gilliam, -   ,0.00%
Grant, -   ,0.00%
Harney, -   ,0.00%
Lake, -   ,0.00%
Lincoln, -   ,0.00%
Union, -   ,0.00%
