business_status,formatted_phone_number,name,place_id,rating,user_ratings_total,formatted_address,website,street_address_1,street_address_2,city,province,zipcode,country_code,url,location_name
OPERATIONAL,(509) 526-5230,K Vintners,ChIJb21eb2cVolQRY6JGmq_XmwA,4.4,13.0,"820 Mill Creek Rd, Walla Walla, WA 99362, USA",https://houseofsmith.com/,820 Mill Creek Rd,NULL, Walla Walla,WA,99362, USA,https://maps.google.com/?cid=43865770597720675,NULL
OPERATIONAL,(503) 363-0525,Cória Estates,ChIJm-BEGj4GwFQRQz0MEeIFSLM,4.7,80.0,"8252 Redstone Ave SE, Salem, OR 97306, USA",http://www.coriaestates.com/,8252 Redstone Ave SE,NULL, Salem,OR,97306, USA,https://maps.google.com/?cid=12918581999619030339,NULL
OPERATIONAL,(541) 928-2106,Vivacity Spirits LLC,ChIJ6QmAe3sVwFQR7KVJoo1dw3k,4.9,13.0,"140 NE Hill St, Albany, OR 97321, USA",http://www.vivacityspirits.com/,140 NE Hill St,NULL, Albany,OR,97321, USA,https://maps.google.com/?cid=8773959361942365676,NULL
OPERATIONAL,(541) 929-3519,Lumos Wine Co.,ChIJQeW2X8JIlVQR_36_D7DaRyw,NULL,NULL,"845 NE 5th St, McMinnville, OR 97128, USA",http://www.lumoswine.com/,845 NE 5th St,NULL, McMinnville,OR,97128, USA,https://maps.google.com/?cid=3190759310728593151,NULL
OPERATIONAL,(503) 679-3497,Gresser Vineyard,ChIJPyUzT_0WlVQRPplhbRhoBv8,5.0,3.0,"37245 SW Nature Dr, Cornelius, OR 97113, USA",NULL,37245 SW Nature Dr,NULL, Cornelius,OR,97113, USA,https://maps.google.com/?cid=18376489783655504190,NULL
OPERATIONAL,(503) 852-3185,Pike Road Wines,ChIJsQUl8WI4lVQRH7c1h2mlyxs,4.8,76.0,"701 NE 3rd St, McMinnville, OR 97128, USA",https://www.pikeroadwines.com/About,701 NE 3rd St,NULL, McMinnville,OR,97128, USA,https://maps.google.com/?cid=2002876331954911007,NULL
OPERATIONAL,(541) 294-8577,HV Cellars,ChIJFxlq4W45xFQRofB1FANAgqA,4.0,12.0,"Winston, OR 97496, USA",NULL,NULL,NULL,Winston,OR,97496, USA,https://maps.google.com/?cid=11565877175013208225,NULL
OPERATIONAL,(509) 877-0925,Treveri Cellars,ChIJ6zX2Hy5-l1QRa3iXwQVTJ9w,4.7,339.0,"71 Gangl Rd, Wapato, WA 98951, USA",http://www.trevericellars.com/,71 Gangl Rd,NULL, Wapato,WA,98951, USA,https://maps.google.com/?cid=15863739496623732843,NULL
OPERATIONAL,NULL,Richwine Vineyards,ChIJAQxfzZU3xFQRs5T84y869vA,NULL,NULL,"15330 Old Hwy 99 S, Myrtle Creek, OR 97457, USA",NULL,15330 Old Hwy 99 S,NULL, Myrtle Creek,OR,97457, USA,https://maps.google.com/?cid=17363129390736381107,NULL
OPERATIONAL,(503) 554-0721,Armstrong Family Winery,ChIJyeLEWHhplVQRw5DFl7OPtwg,4.8,22.0,"9995 NE Parrett Mountain Rd, Newberg, OR 97132, USA",https://jkcarriere.com/contact/,9995 NE Parrett Mountain Rd,NULL, Newberg,OR,97132, USA,https://maps.google.com/?cid=628128674549698755,NULL
