photo_reference,place_id,height,width,uploader_name,uploader_url
AcYSjRgtGNvOJbBCDQspPEYaWZsggQFQyoUTPOs7ByDCrgY2lOXRGx6FB9XhWfQ9uJTF754K7XMAPgD8PBRslxt-dYBAL5Ba_e4Dp0iyno9VqBmKtcHKhaQ4A0b2xOPutI5rg3EjIKvAPdM4iBNptCDEZ5Arx5szSJvnlbxdQlEnyFjP6Yp9,ChIJb21eb2cVolQRY6JGmq_XmwA,950,1800,K Vintners,https://maps.google.com/maps/contrib/114711947134508423916
AcYSjRij8q2agx7LPQowGmXvZkz0yHnOqA0wlDT9XxDcIFwa6LLmNoo_FthKOE2cQCbSMaqnnJN1gPWTTn2o6SIosXry4HruUYphqPREVM3XJRBHkn2RnzIqjVdnv9S6pVXVNfX0v8Wq_RiA2KUBb4n0JhxEMdoFTcsrNgPJ9wEw9z9FMyjs,ChIJb21eb2cVolQRY6JGmq_XmwA,2448,3264,Juan C Munoz,https://maps.google.com/maps/contrib/103858573365986494162
AcYSjRjZPeu-7PMl_xZRluZbU760vCAnhsu8-WclyotBjTaI3RcEoy-OphaAwMGOQCg19JIEmxog62m0hlAXs6RXdfJAIttQrakDG6AuYgNATztbr3rn94EvWX0OoRTBz5GfgKbKf0niqNoPgp0v0GoP5WQ24SEBbcCMdyzMf5JLqpvUDLOU,ChIJb21eb2cVolQRY6JGmq_XmwA,2988,5312,Kristina Jimenez,https://maps.google.com/maps/contrib/111000868241209964612
AcYSjRiu8Fhw7HQRscN-k13JSySkBAkN80ayBriOE2d0wnbnvKkQoWaq1SlZQv61lpwLRp2-hoBiNiEbfl7W3J_iqSBjNt0z2j8mW5AilzvzMcooz9XcgGnVpw2CL_r1mQ1K2E77yHaz38ErleY5tgPmOnJXw2HL5DCcD6AtSh1DI1l85qbP,ChIJb21eb2cVolQRY6JGmq_XmwA,2400,1920,Kristina Jimenez,https://maps.google.com/maps/contrib/111000868241209964612
AcYSjRivLwy8DdhwWr8zteFv1eJSL3rIPbVifku6TZaJAF-CYKxTxYwR7Z78HdFpfoopajVzhJJfiRrSrFtHhQfupYeFz-GnRuOzJ-R9J-6ya1BVbkTnOrMIvTo3Sw7F1wCKbKARxwL6hk-d7HNPXWyzzqS6WccxlCVMs5yi5Q84wQuHgg_L,ChIJb21eb2cVolQRY6JGmq_XmwA,2988,5312,Tim Blankenship,https://maps.google.com/maps/contrib/110953621932793834526
AcYSjRiZ5X11-SnFHF5XO4LspY-j4MTz3fw6WlzBRpiGLW-DPaEuJ79LgziL_BjPP-_Dd-uYJO0FHUNXRHX8e6ewGB-OV7zuB8C8P_KO7P3wccZBwM_c6v15G41KCzqnOs_jGzTTb0pCDXYOxDZDs6mpV69TvHv7WUWlopdtuYyKPUeKIAW3,ChIJb21eb2cVolQRY6JGmq_XmwA,2448,3264,Juan C Munoz,https://maps.google.com/maps/contrib/103858573365986494162
AcYSjRgRBr-mdZo6X__ud4lYysHJ0QytbwGZd-r23pfNhp1N1Ui6cYPZX-Tf-FVgD0Ovo4M12SNc4aU-pihjXlvwQPvNJkK3plQBJu9H3taJWOVWvynNotfamjyRWq9ccddIwde08mL3UMaD9AGVaueZxTBMbAVTHVb8DWz8dwGU4YqI034g,ChIJb21eb2cVolQRY6JGmq_XmwA,2432,4320,Dorcas Spencer,https://maps.google.com/maps/contrib/106433941695177941353
AcYSjRgb4Nr6JBpypSA3moeUbsQx8iPbpTxZvmtdSrd4LBOZL17bPaYQxGSTJ3vCHLCkEtZcpKlgpMoMvUaI3mjaTU8swj-Ronv5yNWtM7ydR3VQKmamDOy_5Mwm50G6cCUvoF0XMQEyLgbrw5CeeTbo3GpHgnDJco6NKAOpd3t53n7YJJql,ChIJb21eb2cVolQRY6JGmq_XmwA,4320,2432,Dorcas Spencer,https://maps.google.com/maps/contrib/106433941695177941353
AcYSjRjpNG7F5hRXjjOzIWEIzLAL7b0TW7ElEZNBAxz-8htW5F9iZwTypkkGL2GzfhF1xlW88kRnGQYmj51o419FkFz1yw-1uM1j08udQTbB-4jE_6F0bq5qPKiDTt5Wxc8IaE8N8CXGd3xP2IeUfdrEmZ-nCVc84JW0Du7iEBmd2xpiav8F,ChIJb21eb2cVolQRY6JGmq_XmwA,2304,4096,Kristina Jimenez,https://maps.google.com/maps/contrib/111000868241209964612
AcYSjRgB6SIIAzopasoAOWVtK-ru9NiUUDbw_P3yIwEgz4AzXyxorLWGuGkmqsLqtAl_EiP9gUSrvRz6RmBXR26QEzFjYO1SwuDc4FLCgJx55Y-UMvj3Kp1wmT1O84ARVP_hAW2csYw-JVXqsVz1_hrSn2vYtinU-CHIi2-Cg9Pujdbz5-3o,ChIJb21eb2cVolQRY6JGmq_XmwA,2448,3264,Juan C Munoz,https://maps.google.com/maps/contrib/103858573365986494162
AcYSjRipHf4GRJXIhpdCOC0Ni08bge0Q5RZJnyg6T3Ifs_9pwHj6nbna5_jpnIj_0LPThD1FmxFHvU6goj6xMHP-ifKZjMjhN2hGxQCbVQo81KRilUqAu_HH_GhcbcZhmAUiV6gn_wpoFRqrft8fARVp8cdL1si_d4ydvR7nQs93GhF7E7Q,ChIJm-BEGj4GwFQRQz0MEeIFSLM,1667,2500,Cória Estates,https://maps.google.com/maps/contrib/110200706076735205054
AcYSjRjno6ghLAOTYXzgJtnIhzSfDULHR7qL0eGqZbPrr2ZhlTZ-DeXrsmnhoZr0UQ8rF8NSBy5XSJhO2JDWP9l7Ag0DPoOgvH4xpOCpKQ5Acw7yhfdPpMGWRaAsQ4HHbl0XjkoWx64WWPamxpnCCPtCRAWHE10QaxVH-NPhsSCSr7lP03Q,ChIJm-BEGj4GwFQRQz0MEeIFSLM,1000,1500,Cória Estates,https://maps.google.com/maps/contrib/110200706076735205054
AcYSjRhI443fNcu7-16x-m3p7CUn3iw5lYAcsxor0aeUwHR-to-AQFxk2KAldYr1j94bT8RjzfwnBW7gAg1oPXiaS9wCNJN07F3UCqNMksA-e-WxkLNjB6QusMIk4BTV6vxktdtitZ5on9yqU7lWbP-JfzVINHuj2ftZ3OssYu1QGmQDlZ8,ChIJm-BEGj4GwFQRQz0MEeIFSLM,1000,1500,Cória Estates,https://maps.google.com/maps/contrib/110200706076735205054
