author_name,author_url,language,original_language,profile_photo_url,rating,relative_time_description,text,time,translated,place_id
Alissa Rubin,https://www.google.com/maps/contrib/112432630707910279845/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu9e6Ib0Mz7xx0k80Zmc-8CgKePw8PdQijET078DaQ=s128-c0x00000000-cc-rp-mo,5,5 years ago,"Beautiful property and house, and very accommodating! We dropped by unannounced, and the sign said 'by appoints only' but they were very nice and squeezed us in before a dinner event. The wine was really excellent and they had a nice range. The somm was super friendly and knowledgeable.",1503273934,False,ChIJ47fROEcPwFQRmvkED1tgYu8
Patrick Hoonan,https://www.google.com/maps/contrib/100041353264156125069/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu9avia4ex0S8xe705Hy9wbSCG4Sx8EH7E0CAksmDw=s128-c0x00000000-cc-rp-mo-ba2,5,3 years ago,Some of the best reds (and rose) in all of WA and OR. They are also dog friendly and give back to many charities,1566086685,False,ChIJp3VeV5cPllQRYZuQcpsyd9o
Celia Asher,https://www.google.com/maps/contrib/106424825581178133121/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu2lPxEvIci6Etm7qPlW7g6xQFf_9dVpOrh-kGjO=s128-c0x00000000-cc-rp-mo,5,a year ago,"Lori was extremely thorough & knowledgeable & made an amazing experience for us. She was so bubbly & delightful, it was my first time at a vineyard and I’m so glad I came here!!! 10/10 would recommend, the views are amazing… a relaxing environment for a mellow buzz. ❤️❤️❤️",1633131391,False,ChIJk7IwOZUdlVQRNfp1VBTEvjY
Paige Stinebaugh,https://www.google.com/maps/contrib/103452969652294589646/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu8lesUnywHy0KjTjHEcKNvZchTkDQx8DgZicDqkgA=s128-c0x00000000-cc-rp-mo-ba4,5,2 years ago,"As locals we have had Isenhower Cellars as a must see on our list for a while, and boy they don’t disappoint! Our favorite was the Sparkling Roussanne and the Batchelors Button Cabernet Sauvignon. We really enjoyed the welcoming atmosphere and garden that the tasting room provides. We joined the wine club on our second visit and are looking forward to summer events and bottles!",1598333717,False,ChIJqXPayyZColQRvhXcUAe5f34
Becky Carte,https://www.google.com/maps/contrib/100712297068834512392/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu_Wy6B6IJkDl2-qvjstjTATTE5Oo5WU8gfIo-8yTw=s128-c0x00000000-cc-rp-mo-ba5,5,2 years ago,"Absolutely loved this place, from the super friendly owners, to the super friendly mascot puppies, to the amazing wines! This winery is the real deal! The owners grow all their own grapes with limited help at harvest time. Extreme dedication and passion goes into each bottle they produce. We had a great time outside on the patio enjoying the wine and the beautiful view!",1597000440,False,ChIJR3BG2o8ZxFQRKNFA5078BJY
Dina Vodopich,https://www.google.com/maps/contrib/113435362187307452512/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu-4AmwAq7SyxWG_RhmgEjZdiprEUaei60x0R_90=s128-c0x00000000-cc-rp-mo,5,a year ago,Jason & Todd are the best duo of wine makers!  All of their wines are great!,1604699211,False,ChIJFT7yy0gVolQRI_AB6Xk-JjQ
gary smith,https://www.google.com/maps/contrib/101605489039540095092/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu1xnmzRu4MGeGYhZyUjBtHwYU7YDxUvA4fsEvxI=s128-c0x00000000-cc-rp-mo-ba3,4,5 months ago,Our tasting experience could have been better. The tasting room staff was friendly and efficient but we found the wines available for tasting were limited and for the most part not of the quality we expected. We had to pay for tasting in advance when we made our appointment. I do not think we will be coming back.,1652187716,False,ChIJz3X720BColQRhE0GWDv9LRQ
Flaco Gutierrez,https://www.google.com/maps/contrib/101983115128821070419/reviews,,,https://lh3.googleusercontent.com/a/ALm5wu2gPOUA7eKH-uRSbTMTWVkL51p6Ik2uLP0LzYoV=s128-c0x00000000-cc-rp-mo,5,a year ago,,1609898621,False,ChIJnxAqiLpAolQRYp3YWBF_pgM
Allison Conway,https://www.google.com/maps/contrib/105269953023029112443/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu9uYvxJS3Y2QECGFnEAWqzxP52LdR-dPPXZjTr3Qg=s128-c0x00000000-cc-rp-mo,5,a year ago,"Gorge Crest Vineyards made our wedding day beyond wonderful. From the first time we met to discuss prices and options for our wedding day, we were always confident that we had picked the most extraordinary place to hold our wedding. Our family and friends thoroughly enjoyed the beautiful setting -a view that we’re confident is the best in the Gorge, an intimate outdoor dance floor, stunning arrays of wildflowers, a forested area with hammocks and a bridal suite with a view- and we continue to receive glowing feedback. Jena provided excellent support in organizing and coordinating our event in a warm and professional manner, we couldn’t have done it without her. Gorge Crest Vineyards will always hold such a special place in our hearts.",1631482649,False,ChIJy2h831wMllQRpqjcFOhmzAE
Mara Palumbo,https://www.google.com/maps/contrib/110401270502994775326/reviews,,,https://lh3.googleusercontent.com/a-/ACNPEu9g12QjIPrLUk_HJtBV6v46JFMTHcll0d_3pWW86tQ=s128-c0x00000000-cc-rp-mo-ba3,5,4 years ago,,1540696454,False,ChIJL6KKj2NqolQR90myUsfIS2c
