Name,Hours,Street,Address,Phone
2Hawk Vineyard & Winery,"(Daily, 1 - 7 pm)",2335 N Phoenix Road,"Medford, OR 97504",541-779-9463
12 Ranch Wines,(By Appointment),4550 Burgdorf Road,"Bonanza, OR 97623",541-545-1204
12th & Maple Wine Company,(A custom crush facility for several wineries),1242 SE Maple Street,"Dundee, OR 97115",503-538-7724
15 Mile Winery,"(Sat & Sun, 11 am - 5 pm)",306 Court Street,"The Dalles, OR 97058",541-965-1445
51 Weeks Winemaking- At Southeast Wine Collective & Wine Bar,(Call for seasonal hours),2425 SE 35th Place,"Portland, OR 97214",503-706-9339
720 Wine Cellars,,720 Wyatt Ln,"Philomath, OR 97370",
Abacela Vineyards & Winery - Vine & Wine Center,"(Daily, except major holidays: Nov thru May: 11 am to 5 pm June thru Oct: 11 am to 6 pm)",12500 Lookinglass Road,"Roseburg, OR 97470",541-679-6642
Abbelone Vineyard,,85505 Christensen Road,"Eugene, OR 97405",541-344-6358
Abbey Creek Vineyard,(By appointment and special events),31441 NW Commercial St,"North Plains, OR 97133",503-389-0619
Abiqua Wine Vineyard,(Open Memorial & Thanksgiving Weekends; Other times call ahead for a private tasting appt.),19822 McKillop Loop Rd NE,"Scotts Mills, OR 97375",503-874-9818
A Blooming Hill Vineyard,"(Fri - Sun, Noon to 5:30 pm; Mon - Thurs, by appointment)",5195 SW Hergert Road,"Cornelius, OR 97113",503-992-1196
Academy of Wine,(Sat & Sun: 2 - 5 pm or by appointment. Also open 2-5 most holiday weekends),Applegate Valley 18200 Hwy 238,"Grants Pass, OR 97527",541-846-6817
Acme Wineworks,(Not open to public),PO Box 48,"Carlton, OR 97111",503-852-6969
Adea Wine Company,"(Jan - Mar, by appointment only - 503-662-4509; Apr - Sept, Fri - Sat, Noon - 4 pm, or by appt)",26423 NW Highway 47,"Gaston, OR 97119",503-662-4509
Adelsheim Vineyard,(Daily 11 am - 4 pm),16800 NE Calkins Lane,"Newberg, OR 97132",503-538-3652
Agate Ridge Vineyard,"(Summer Season: Daily, 12 - 6 pm; Winter Season: Daily, 12 - 5 pm)",1098 Nick Young Road,"Eagle Point, OR 97524",541-830-3050
Airlie Winery,"(Mar - Nov: Thurs - Mon, 12 - 5pm)",15305 Dunn Forest Road,"Monmouth, OR 97361",503-838-6013
Abiqua Wine Vineyard,(Open Memorial & Thanksgiving Weekends; Other times call ahead for a private tasting appt.),19822 McKillop Loop Rd NE,"Scotts Mills, OR 97375",503-874-9818
Alexana Winery Tasting Room,"(Daily, 11 am to 5 pm; Winter Hours, 11 to 4 pm; Private Tastings by appointment)",12001 NE Worden Hill Road,"Newberg, OR 97132",503-537-3100
Alexeli Vineyard & Winery,"(Apr - Nov, Sat & Sun: 12 am - 5 pm)",35803 South Hwy 213,"Molalla, OR 97038",503-829-6677
Alit Wines - Chapter 24 Vineyards,(Thurs - Mon: 11 am - 5 pm),531 OR-99 W,"Dundee, OR 97132",503-487-6341
Alloro Vineyard,(Thurs - Mon: 11 am - 5 pm),22075 S.W. Lebeau Road,"Sherwood, OR",503-625-1978
Alpine Vineyards,(Not open to public),25904 Green Peak Road,"Monroe, OR 97456",541-424-5851
Amalie Robert Estate,(Open by Appointment),Bursell Road (Call for directions),"Dallas, OR 97338",503-831-4703
Amaranth Ridge,(Not open to public),5500 Driver Valley Road,"Oakland, OR 97462",0
Amity Vineyards,(Nov - May: 12 - 5; June - Oct 11 - 5; Closed major holidays),18150 Amity Vineyards Road SE,"Amity, OR 97101",503-835-2362
Analemma Winery,"(Apr 5 - Oct 5, Sat & Sun, 10 am - 5 pm or by appointment - 541-478-2873)",1120 State Road,"Mosier, OR",541-478-2873
Anam Cara Cellars (Chehalem Mountains AVA),(By Appointment),22222 S.W. Nicholas View Drive,"Sherwood, OR 97140",503-537-9150 Sheila
Anam Cara Cellars - Newberg Tasting Room,"(Mar - Dec: 11 am - 5 pm, Daily; Jan & Feb: 11 - 5, Thurs - Sun or by appt)",306 N Main Street,"Newberg, OR",503-537-9150
Ana Vineyards,-,8777 NE Worden Hill Rd,"Dundee, OR 97115",-
Ancient Cellars at 12th & Maple Wine Company,(Call 1st for tasting appt - 503-437-4827),1242 SE Maple Street,"Dundee, OR 97115",503-437-4827
Ancient Cellars - Newberg Tasting Room,"(Late May - October: Fri-Sun, 11 am - 6 pm; Mon-Thurs, 12 - 5; November - May: Thur, 12 - 5 pm; Fri & Sat, 12 - 6 pm; Sun, 12 - 5 pm)",718 E First Street,"Newberg, OR 97132",971-276-5745
Anderson Family Vineyards,(By Appointment),20120 NE Herring Lane,"Newberg, OR",503-554-5541
Andrew Rich Wines at The Carlton Winemakers Studio and Tasting Room,"(Daily, 11 — 5pm)",801 N Scott Street,"Carlton, OR 97111",503-284-6622
"Angel Vine at Urban Crush Winery, Tasting Room & Lounge","(Thurs - Sat, 12 - 7 pm; Sun, 12 - 5 pm or by appointment)",2025 SE 7th Avenue,"Portland, OR 97214",503-477-6994
Angela Estate - Inside Inn at Red Hills,(Open Daily: 10 am - 5 pm or by appointment),1326 N Hwy 99,"Dundee, OR 97115",503-554-1049
Anindor Vineyards,(June thru Nov:,"Wed - Sun, 11 am to 5 pm)",Tasting Room - Downtown,"325 Second Street, Elkton"
Anindor Vineyards,-,1171 Vintage Drive,"Elkton, OR",541-584-2637
Ankeny Vineyards,(Open weekends - Noon - 5PM Memorial Day to Christmas),2565 Riverside Road S.,"Salem, OR 97306",503-378-1498
Anne Amie,(Mar - Dec: Daily 10 am - 4:45 pm; Jan - Feb: Fri - Sun 10 am - 4:45; Mon - Thu by appt),6580 N.E. Mineral Springs Road,"Carlton, OR 97111",503-864-2991
Antica Terra,(By appointment),6120 NE 22nd Avenue,"Portland, OR 97211",503-281-7696
Apolloni Vineyards,"(Daily thru Thanksgiving Weekend, 11 - 5 pm; Winter Hours: Thusr - Sun, 11 - 5 pm or by apt)",14135 NW Timmerman Road,"Forest Grove, OR 97116",503-359-3606
Aramenta Cellars,(Daily - 10:30 a.m. - 5:00 p.m.),17979 NE Lewis Rogers Lane,"Newberg, OR",503-538-7230
ArborBrook Vineyards,"(Daily, 11 - 4:30 pm, Private tastings by appointment Memorial & Thanksgiving Day Weekends)",17770 NE Calkins Lane,"Newberg, OR 97132",503-538-0959
Arcane Cellars / Wheatland Winery,(Open 12 - 4 Spring & Summer),22350 Magness Road NW,"Wheatland (Salem), OR",503-868-7076
Archer Vineyard,"(Mar - Nov, Sat - Sun: 11 am - 5 pm; Otherwise by appointment)",32230 NE Old Parrett Mountain Road,Newberg OR 97132,503-702-0537
Archery Summit Winery,"(10am - 4pm Wed - Sun, Tours at 10:30am and 2:00pm by reservation)",18599 NE Archery Summit Road,"Dayton, OR 97114",503-864-4300
Árdíri Winery and Vineyards,(Fri - Sat: 11 am – 7 pm. Sun: 11am – 5 pm; Wed - Thur: By appointment.),35040 SW Unger Road,"Cornelius, OR",888-503-3330
Argyle Winery,"(11 am - 5 pm Mon-Thurs; 10 am - 5 pm, Fri-Sun; Closed some major holidays)",691 Highway 99W,"Dundee, OR 97115",503-538-8520
Armonéa Wines at Wine Country Farm B&B,"(May - Dec, Daily 11 am - 5 pm; Jan - Apr, Sat & Sun 11 - 5)",6855 Breyman Orchard Road,"Dayton, OR",503-864-3446
Artisanal Wine Cellars - Newberg Tasting Room,"(Summer Hours: Sun - Wed, 12 - 6:00; Thurs - Sat, 12 - 8 pm; Winter Hours: Thurs - Sun, 12 - 6 pm, till 8 pm Fri & Sat)",614 E 1st Street,"Newberg, OR 97132",503-537-2094
Winery at August Cellars,Winemaker's Studio,14000 NE Quarry Road,"Newberg, OR 97132",-
Ascendente Winery,"(Fri, 3 - 8 pm; Sat & Sun, 12 - 6 pm)",85 NE Estes,"White Salmon, WA 98672",509-281-3005
Ashland Vineyards,"(Tues - Sun, 11 - 5)",2775 East Main Street,"Ashland, OR 97520",541-488-0088
Asilda (Carlton Winemakers Studio),"(Daily, 11 — 5pm)",801 N Scott Street,"Carlton, OR 97111",503-852-6100
