name,business_status,place_id,formatted_phone_number,formatted_address,url,website,rating,user_ratings_total,street_address,city,province,zipcode,country,location_name
Beaux Frères,OPERATIONAL,ChIJY_YvLqs_lVQRQ1JGKPCC-qA,(503) 537-1137,"By Appointment Only, 15155 NE North Valley Rd, Newberg, OR 97132, USA",https://maps.google.com/?cid=11599727758225592899,http://www.beauxfreres.com/,4.9,57, 15155 NE North Valley Rd, Newberg,OR,97132, USA,
Ruby Vineyard,OPERATIONAL,ChIJb07wO0IUlVQRpT7hr_IPjrc,(503) 628-7829,"30088 SW Egger Rd, Hillsboro, OR 97123, USA",https://maps.google.com/?cid=13226526690641002149,http://www.rubyvineyard.com/,4.7,83,30088 SW Egger Rd, Hillsboro,OR,97123, USA,
Dobbes Family Estate,OPERATIONAL,ChIJ0837TqdBlVQR8w_X_SPvVx4,(503) 538-1141,"240 SE 5th St, Dundee, OR 97115, USA",https://maps.google.com/?cid=2186479081973288947,http://dobbesfamilyestate.com/,4.7,94,240 SE 5th St, Dundee,OR,97115, USA,
FireThorn Vineyard,OPERATIONAL,ChIJ22vW2sjFolQRohtq-192_d0,(206) 391-6709,"75049 Snow Rd, Echo, OR 97826, USA",https://maps.google.com/?cid=15996071606101875618,http://www.firethornvineyard.com/contact/,5,1,75049 Snow Rd, Echo,OR,97826, USA,
Freed Estate Vineyards,OPERATIONAL,ChIJZS1JIJ05xFQRBC3XPLxiy0o,(808) 551-9998,"430 Hooten Rd, Winston, OR 97496, USA",https://maps.google.com/?cid=5389509939693038852,http://www.freedestatewinery.com/,5,33,430 Hooten Rd, Winston,OR,97496, USA,
Willamette Valley Vineyards,OPERATIONAL,ChIJEZsIboQIwFQRNy3yOiTKe_Y,(503) 588-9463,"8800 Enchanted Way SE, Turner, OR 97392, USA",https://maps.google.com/?cid=17761011812422266167,http://www.wvv.com/,4.7,673,8800 Enchanted Way SE, Turner,OR,97392, USA,
Cherry Grove Vineyard,OPERATIONAL,ChIJn5MXyjQ9lVQRvfzTTYvgfSI,(503) 985-3513,"49969 SW Patton Valley Rd, Gaston, OR 97119, USA",https://maps.google.com/?cid=2485389458289196221,https://www.cherrygrovevineyard.com/,5,1,49969 SW Patton Valley Rd, Gaston,OR,97119, USA,
Oswego Hills Vineyard,OPERATIONAL,ChIJ_ZDTaZZzlVQRBnA2k9StH8M,(503) 655-2599,"450 Rosemont Rd, West Linn, OR 97068, USA",https://maps.google.com/?cid=14060147690188468230,https://www.oswegohills.com/,4.5,74,450 Rosemont Rd, West Linn,OR,97068, USA,
The Pines 1852,OPERATIONAL,ChIJkxfV22gOllQRsg6ngubxivI,(541) 993-8301,"415 Oak St, Hood River, OR 97031, USA",https://maps.google.com/?cid=17477047276301389490,http://www.thepinesvineyard.com/,4.6,79,415 Oak St, Hood River,OR,97031, USA,
Ransom Wine Co. & Distillery Tasting Room,OPERATIONAL,ChIJs-4c3txIlVQR6UVxrpn_h7U,(503) 472-2493,"23145 OR-99W, Dundee, OR 97115, USA",https://maps.google.com/?cid=13080704678242633193,http://www.ransomspirits.com/,4.9,14,23145 OR-99W, Dundee,OR,97115, USA,
