author_name,author_url,original_language,rating,relative_time_description,text,time,translated,place_id
Kate S.,https://www.google.com/maps/contrib/100465257518510170399/reviews,en,4,5 months ago,"We must have had an off day when we visited. The visit was all inside even though it was a lovely warm day, the inside is dark and not very warm + welcoming more like a dank neglected cabin but it looks like they're currently renovating that space 🤷‍♀️ The person pouring was a little dazed? Would disappear for chunks of time with no warning, didn't give us much information and was a bit all over the place and at the end when we went to pay and another reservation had showed up as well and there was a couple that was halfway through-- no one was to be found and we all awkwardly waited for >15 minutes for someone to appear. But at the the of the day we were there for the wine! Our tasting experience was ok, wines were all only very old vintages and marked up $50-90+ more than previously because they were old but honestly for me these  10+ year wines were not really holding up and felt quite thin and oxidized and very fruit forward which isn't my preferred style for pinots so take my review with that large caveat. We bought a couple cases at other places this one was just a huge miss for us and we preferred to pay for the tasting ($100 out of pocket)-- then take anything home. Would have preferred to taste some more recent releases that could be cellared.",1653419759,False,ChIJY_YvLqs_lVQRQ1JGKPCC-qA
Joel Barrett,https://www.google.com/maps/contrib/116620073433236231932/reviews,en,5,a year ago,Great old vine wines here! You are bound to find several you’ll love. Beautiful property with views of Mt Hood 60+ miles away.,1632516637,False,ChIJb07wO0IUlVQRpT7hr_IPjrc
Susan Whitmarsh,https://www.google.com/maps/contrib/107392748716269509723/reviews,en,5,6 months ago,"We enjoyed visiting, sitting in our own warm little bubble.  Everyone was friendly and welcoming.",1649734942,False,ChIJ0837TqdBlVQR8w_X_SPvVx4
KAREN BLAIR,https://www.google.com/maps/contrib/115503516103436998407/reviews,en,5,5 months ago,A friend's Wedding right there in the middle of the vineyard!!! Beautiful setting!!,1654399591,False,ChIJ22vW2sjFolQRohtq-192_d0
Raye Smith,https://www.google.com/maps/contrib/111688859752428309297/reviews,en,5,a year ago,"Love this winery!
As a member of Harvest Host, we stayed  the night in our motorhome overlooking the South Umpqua River.

Freed Estate Vineyards grow the grapes that produce their wines. I tasted noteworthy vintages from 2014, 2016 and 2018 with my favorite from their 2018 crops. For my palate it was a fabulous year for many of their wines. However,  their newly released 2016 Tempranillo is exceptional.

It is a family run estate and my list of favorable adjectives to describe this family is lengthy.  I found our wine expert, Brian, to be extremely  knowledgeable, welcoming and a pleasure to talk with. I was lucky to meet a few of his family, as well.

If you get the opportunity, buy a bottle of wine and sit along the river.",1633462273,False,ChIJZS1JIJ05xFQRBC3XPLxiy0o
Mark Melsness,https://www.google.com/maps/contrib/103440537849935233606/reviews,en,5,a month ago,"We were a party of eight and our tour guide, Bradley, was awesome and very knowledgeable. We saw the oak barrels with wine in storage, the processing room and the bottling machine. We tasted a few good wines and even bought a few bottles to take home. Supper great time and a absolutely beautiful place. We will definitely be back!",1662852697,False,ChIJEZsIboQIwFQRNy3yOiTKe_Y
Jimber mendoza,https://www.google.com/maps/contrib/106863373774962240349/reviews,,5,a year ago,,1617540945,False,ChIJn5MXyjQ9lVQRvfzTTYvgfSI
Mikaela O'Brien,https://www.google.com/maps/contrib/103604150948610395435/reviews,en,2,3 weeks ago,Beautiful place with excellent wine. Guy pouring in the tasting room was pretty condescending and we definitely didn’t feel welcome.,1665269268,False,ChIJ_ZDTaZZzlVQRBnA2k9StH8M
Betty Tzeo,https://www.google.com/maps/contrib/114976907963743822390/reviews,en,5,a year ago,"We have been back to this tasting room year after year because of Natalie. She has such a wonderful personality and made us feel so warm and welcomed, a vast contrast to when we were made to feel ""out of place"" at other tasting rooms and wineries. Not only was the wine AMAZING, Natalie was very knowledgeable and passionate about the history and harvest of the grapes. The first time I met Natalie, we came in during a time when the tasting room was not open yet. She welcomed us  and made us feel so comfortable despite the many tasks she was juggling between pours. She was very attentive yet let us enjoy the atmosphere. While she poured, she used her skills to learn more about us and was able to determine our preferences. Needless to say, we walked away with lots of wine that day. Another time we came to Hood River, one of my friends had her golden retriever puppy with her and when we called ahead, Natalie saved a seat outside for us. Another wonderful experience in the books.  I feel that the owner, Lonnie is so fortunate to have Natalie on his side. The Pines 1852 is an experience you do NOT want to miss in Hood River!",1623626257,False,ChIJkxfV22gOllQRsg6ngubxivI
Yolanda Bruce,https://www.google.com/maps/contrib/107933505207125063033/reviews,en,5,a year ago,Great experience!  Loved tasting all their offerings.,1618100508,False,ChIJs-4c3txIlVQR6UVxrpn_h7U
Matthew Douglas,https://www.google.com/maps/contrib/118044802084749324651/reviews,en,5,a year ago,"The Good Drop is a special place in Bend and you should absolutely visit it if you are into great wine and good people. Each time, we somehow have an exceptional experience. The owner, Sarah, is knowledgeable and passionate about wine, as you would expect, but also manages to foster an environment where everyone feels like family. We’ve had some of the best conversation with complete strangers and made great memories here, and we are already looking forward to the next time we get to ...drop... in. Truly though - thank you Sarah for such wonderful experiences.",1622645467,False,ChIJG9hkQ53IuFQRYkSXxXQKcKk
Matt Bonner,https://www.google.com/maps/contrib/113229885097105125447/reviews,en,5,4 years ago,"Great wine, amazing views and outstanding customer service",1540712339,False,ChIJG20R93tUwFQRQiVoAxf34wk
Cindy Suttles,https://www.google.com/maps/contrib/105449337046243946957/reviews,,5,a year ago,,1623033208,False,ChIJh35nmr3jwFQRuSSHefRzR9s
Paul Christofanelli,https://www.google.com/maps/contrib/117168484510029462966/reviews,en,5,2 months ago,"Great place, nice wine selections, nice pours, chocolate with the port, everything one could want!",1661637134,False,ChIJWVWjowhXwVQRRF_91U0QSSE
Charlie Smith,https://www.google.com/maps/contrib/111573127242603266939/reviews,en,5,a year ago,"Stopped here on a recommendation from someone on a dating app.  The folks at Balboa every effort to accommodate us despite being busy and us showing up on a whim.  Really nice wines (I really liked red grenache), great atmosphere, and lovely setting.  Minus two stars for Abbi the dog not immediately jumping into my lap.  Just kidding, give old Abbi some love!  Would return, no questions asked.  Speaking of questions, should I ask the person from a dating app out?",1630186645,False,ChIJ43Puwk1ColQR74SiPklMvqU
foodinyourfaceable,https://www.google.com/maps/contrib/103162228424781573332/reviews,en,5,4 years ago,"Fantastic tasting room!  Great place to stoo for small bites and a few samples of local wines. For the cheese-o-philes, these plates are made for you.  The servers have extensive knowledge of the wines and tasting notes.",1526175630,False,ChIJY4qS1W4OllQRvAyS2AuKE98
Hilary Austin,https://www.google.com/maps/contrib/109118929896564670609/reviews,en,5,a year ago,"My friend and I are visiting from the gorge/Portland area and we loved it! The wines were amazing, and we loved hearing the stories behind them. Most of all the service was excellent. I have a 5 month old, and my friend and I were given a private room that wasn’t in use. It made my experience that much better to be able to relax. Thank you so much for making wine tasting so enjoyable.",1626545542,False,ChIJ83cw1mRqolQRhqvOeqZuGzY
Ell Smith,https://www.google.com/maps/contrib/106129744025882718164/reviews,en,5,7 years ago,Love their rose and pinot gris!,1441389827,False,ChIJl95UgqaglVQRSRPQqpfXGo8
Charles Mulhall,https://www.google.com/maps/contrib/113774052819740517479/reviews,en,5,a year ago,Sarah is the best!! Join her for a private tasting! You will learn a lot!!,1634434268,False,ChIJc-Akvi8LlVQRXoF7-VCQJGs
Flaco Gutierrez,https://www.google.com/maps/contrib/101983115128821070419/reviews,,5,2 years ago,,1599074247,False,ChIJhb0xFssWolQRaVb4OItxb7c
Pamela Gutekunst,https://www.google.com/maps/contrib/118298170990486673462/reviews,en,3,4 years ago,Wine tasting and conserve during the summer. Kind of grumpy.,1519827035,False,ChIJrSvRjVVexVQRiTJ5LDu-vDI
Jeff Vassau,https://www.google.com/maps/contrib/113729840574192743544/reviews,en,5,5 years ago,"Beautiful, peaceful place to stay! The owners are wonderful; I highly recommend staying here if you ever want to go to Oregon wine country.",1506960276,False,ChIJ08Rvf9tJlVQRxurM-mtG6OU
mark marble,https://www.google.com/maps/contrib/104118542440570825604/reviews,en,5,a year ago,Some of the best reds you will find in Oregon.,1616801239,False,ChIJGwkzz5lPlVQRrC17L0dfWfE
Carly Montgomery,https://www.google.com/maps/contrib/106122769536965187926/reviews,en,5,5 months ago,Okay yall. Visit this place. Ask for a man named Cam. Ask no further questions. Taste the beauty. Look at the flick of the wrist. Enjoy the wines.,1653715459,False,ChIJA2FQfmxBlVQRmuceABxatAw
Moma D,https://www.google.com/maps/contrib/100036882664302392562/reviews,en,5,8 months ago,"If your out east in the Dalles,Or. you need to make the stop.  Wines are amazing and Colter is great ! The local patrons were also great people! Great vibe!   Excited to have a new wine to add to our library .. both personal and business.!",1645315124,False,ChIJMflGyHYellQRpfPjpSOApmk
Sarah Burns,https://www.google.com/maps/contrib/102383103060147804320/reviews,en,5,8 months ago,"Great wines, lovely layout and vibes, a wonderful place to spend an afternoon. The head wine guy, Chris, was very knowledgeable and professional.",1646520156,False,ChIJmeb78RIRllQRqJ7O_XVMOYc
Gaven Rulo,https://www.google.com/maps/contrib/102926903087736084578/reviews,,5,6 years ago,,1463151405,False,ChIJMbZClyZColQRoCmy4vsZnkY
Lori Affolter,https://www.google.com/maps/contrib/106074660436905195153/reviews,,5,2 years ago,,1603688452,False,ChIJNfLJ0tNBlVQRaXMqrVHipf8
Scott Seymour,https://www.google.com/maps/contrib/105627702220514579825/reviews,en,5,2 years ago,"Cute little winery right off of I5. Beautiful old barn tasting room. Went on Friday night and had a blast! Great food, awesome live music from 6-9 and also played some Wine-O (bingo) between set breaks for the band. Had a great time out and will definitely be back!",1578847092,False,ChIJRT13WfUvwVQRJ4Sfbq24iQs
