author_name,author_url,language,original_language,profile_photo_url,rating,relative_time_description,text,time,translated,place_id
Kate S.,https://www.google.com/maps/contrib/100465257518510170399/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu_jl4eA4c6LgXl4yFdQJivxeIrEnYlxLQb-EMFv5yk=s128-c0x00000000-cc-rp-mo-ba6,4,5 months ago,"We must have had an off day when we visited. The visit was all inside even though it was a lovely warm day, the inside is dark and not very warm + welcoming more like a dank neglected cabin but it looks like they're currently renovating that space 🤷‍♀️ The person pouring was a little dazed? Would disappear for chunks of time with no warning, didn't give us much information and was a bit all over the place and at the end when we went to pay and another reservation had showed up as well and there was a couple that was halfway through-- no one was to be found and we all awkwardly waited for >15 minutes for someone to appear. But at the the of the day we were there for the wine! Our tasting experience was ok, wines were all only very old vintages and marked up $50-90+ more than previously because they were old but honestly for me these  10+ year wines were not really holding up and felt quite thin and oxidized and very fruit forward which isn't my preferred style for pinots so take my review with that large caveat. We bought a couple cases at other places this one was just a huge miss for us and we preferred to pay for the tasting ($100 out of pocket)-- then take anything home. Would have preferred to taste some more recent releases that could be cellared.",1653419759,False,ChIJY_YvLqs_lVQRQ1JGKPCC-qA
Joel Barrett,https://www.google.com/maps/contrib/116620073433236231932/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu_s_nvlXoVr-ic3aDPO_7Q371SqOn24QNsgbgF2Sw=s128-c0x00000000-cc-rp-mo-ba5,5,a year ago,Great old vine wines here! You are bound to find several you’ll love. Beautiful property with views of Mt Hood 60+ miles away.,1632516637,False,ChIJb07wO0IUlVQRpT7hr_IPjrc
Susan Whitmarsh,https://www.google.com/maps/contrib/107392748716269509723/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu8E_lFuc78wgVHabNCO-LkOulLSbC1LGQyEXgcPjw=s128-c0x00000000-cc-rp-mo,5,6 months ago,"We enjoyed visiting, sitting in our own warm little bubble.  Everyone was friendly and welcoming.",1649734942,False,ChIJ0837TqdBlVQR8w_X_SPvVx4
KAREN BLAIR,https://www.google.com/maps/contrib/115503516103436998407/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu9SUy87NqQsRPzpufZSha46IBTd0SNyyfJytkuTkQ=s128-c0x00000000-cc-rp-mo-ba4,5,5 months ago,A friend's Wedding right there in the middle of the vineyard!!! Beautiful setting!!,1654399591,False,ChIJ22vW2sjFolQRohtq-192_d0
Raye Smith,https://www.google.com/maps/contrib/111688859752428309297/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu3UMmIeYsBKKYFFAUWfqDWbwQKXiB0f9BKSYxkd=s128-c0x00000000-cc-rp-mo-ba4,5,a year ago,"Love this winery!
As a member of Harvest Host, we stayed  the night in our motorhome overlooking the South Umpqua River.

Freed Estate Vineyards grow the grapes that produce their wines. I tasted noteworthy vintages from 2014, 2016 and 2018 with my favorite from their 2018 crops. For my palate it was a fabulous year for many of their wines. However,  their newly released 2016 Tempranillo is exceptional.

It is a family run estate and my list of favorable adjectives to describe this family is lengthy.  I found our wine expert, Brian, to be extremely  knowledgeable, welcoming and a pleasure to talk with. I was lucky to meet a few of his family, as well.

If you get the opportunity, buy a bottle of wine and sit along the river.",1633462273,False,ChIJZS1JIJ05xFQRBC3XPLxiy0o
Julie Hildbold,https://www.google.com/maps/contrib/117705016971408984123/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu_Y7_yt0M65vj4DtrP-8A-GZhV4CgSp8mHqIU3E=s128-c0x00000000-cc-rp-mo,5,9 years ago,"We enjoyed the wines--they are excellent.  The drive up Spring Mountain Road offers fantastic views of the valley and the mountains beyond.  The history of the winery and vineyards is also very interesting--the presentation by one of the owners was very low key, unpretentious and informative.  This is a must see in wine country.",1372858030,False,ChIJx3kaRiZFhIARcebD-3x_Xow
Mark Melsness,https://www.google.com/maps/contrib/103440537849935233606/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu8F4uqQdxhHoIlbrWptpLs5IDgsc_J_wjkZGEO5hw4=s128-c0x00000000-cc-rp-mo-ba5,5,a month ago,"We were a party of eight and our tour guide, Bradley, was awesome and very knowledgeable. We saw the oak barrels with wine in storage, the processing room and the bottling machine. We tasted a few good wines and even bought a few bottles to take home. Supper great time and a absolutely beautiful place. We will definitely be back!",1662852697,False,ChIJEZsIboQIwFQRNy3yOiTKe_Y
Misti Davis G,https://www.google.com/maps/contrib/114037623306934055023/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu04Ooh2h7g5P5zrkgFXpqtQrl2QGdo1l_e5Wli8=s128-c0x00000000-cc-rp-mo,5,6 months ago,I went to this winery years ago and fell in love with it because of the wonderful gentleman who runs it. I want to go back again someday when I visit but have never forgotten it even a decade later!,1650419628,False,ChIJHz-6LEl7k1QRuKFd1uD6cRg
Jimber mendoza,https://www.google.com/maps/contrib/106863373774962240349/reviews,,,https://lh3.googleusercontent.com/a/ALm5wu0gOaBKFejzyUEC-gN-Puc3_1qsZ1EHhVgo-65L=s128-c0x00000000-cc-rp-mo,5,a year ago,,1617540945,False,ChIJn5MXyjQ9lVQRvfzTTYvgfSI
Lia P.,https://www.google.com/maps/contrib/106682976659314191594/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu0dmtj6ZB8r64R2WPiuhjtBGArJ2dAZ67YwcI--=s128-c0x00000000-cc-rp-mo-ba4,5,2 years ago,"Great food! Exactly what I wanted to have tonight - a lot of quality meat with vegetables and no carbs. Google reviews did not disappoint. I confirm - 4.8 stars is very accurate ratings for this place. They also seem to have good covid-19 precautions. Some tables are set up outside as well.
Lamb shank was $27 and portion was very generous.",1601779190,False,ChIJhT7oYChLtokRzp5E4UnUzHg
Mikaela O'Brien,https://www.google.com/maps/contrib/103604150948610395435/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu9jZqGzwZBaY58ZOChpmOes5oGtJaB4HFxItAlk1g=s128-c0x00000000-cc-rp-mo,2,3 weeks ago,Beautiful place with excellent wine. Guy pouring in the tasting room was pretty condescending and we definitely didn’t feel welcome.,1665269268,False,ChIJ_ZDTaZZzlVQRBnA2k9StH8M
Betty Tzeo,https://www.google.com/maps/contrib/114976907963743822390/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu-hP8vGl7wW-s2AJa-P8sIpGVAahP-7cgjRJoTv=s128-c0x00000000-cc-rp-mo,5,a year ago,"We have been back to this tasting room year after year because of Natalie. She has such a wonderful personality and made us feel so warm and welcomed, a vast contrast to when we were made to feel ""out of place"" at other tasting rooms and wineries. Not only was the wine AMAZING, Natalie was very knowledgeable and passionate about the history and harvest of the grapes. The first time I met Natalie, we came in during a time when the tasting room was not open yet. She welcomed us  and made us feel so comfortable despite the many tasks she was juggling between pours. She was very attentive yet let us enjoy the atmosphere. While she poured, she used her skills to learn more about us and was able to determine our preferences. Needless to say, we walked away with lots of wine that day. Another time we came to Hood River, one of my friends had her golden retriever puppy with her and when we called ahead, Natalie saved a seat outside for us. Another wonderful experience in the books.  I feel that the owner, Lonnie is so fortunate to have Natalie on his side. The Pines 1852 is an experience you do NOT want to miss in Hood River!",1623626257,False,ChIJkxfV22gOllQRsg6ngubxivI
Yolanda Bruce,https://www.google.com/maps/contrib/107933505207125063033/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu3ORiLaZDsFx3gUpfFm7gyAjscnMsevV3wUDoUu=s128-c0x00000000-cc-rp-mo,5,a year ago,Great experience!  Loved tasting all their offerings.,1618100508,False,ChIJs-4c3txIlVQR6UVxrpn_h7U
Matthew Douglas,https://www.google.com/maps/contrib/118044802084749324651/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu_iRTtiWaX9PbRN4k1YoAAQ3Ulgm1b451dUahCExMQ=s128-c0x00000000-cc-rp-mo,5,a year ago,"The Good Drop is a special place in Bend and you should absolutely visit it if you are into great wine and good people. Each time, we somehow have an exceptional experience. The owner, Sarah, is knowledgeable and passionate about wine, as you would expect, but also manages to foster an environment where everyone feels like family. We’ve had some of the best conversation with complete strangers and made great memories here, and we are already looking forward to the next time we get to ...drop... in. Truly though - thank you Sarah for such wonderful experiences.",1622645467,False,ChIJG9hkQ53IuFQRYkSXxXQKcKk
Matt Bonner,https://www.google.com/maps/contrib/113229885097105125447/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu-Sly_fHuGiWmqqqM7ZfaytU-reBoL3wmo3bVuPoHY=s128-c0x00000000-cc-rp-mo-ba4,5,4 years ago,"Great wine, amazing views and outstanding customer service",1540712339,False,ChIJG20R93tUwFQRQiVoAxf34wk
Cindy Suttles,https://www.google.com/maps/contrib/105449337046243946957/reviews,,,https://lh3.googleusercontent.com/a/ALm5wu3Z4DjFyEnF3IcGV7RKTh22k7iHKvDGK0UX8ZHz=s128-c0x00000000-cc-rp-mo,5,a year ago,,1623033208,False,ChIJh35nmr3jwFQRuSSHefRzR9s
sean donnally,https://www.google.com/maps/contrib/102757307464241376959/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu_0jT4wdeduteTwyWNdhYNMayzfaLC26xnNtvNn=s128-c0x00000000-cc-rp-mo-ba4,5,5 years ago,"We love this place, staff and all the people are great. We Love you Agate Ridge Vineyard!",1491169927,False,ChIJpzxZx3Niz1QRA1uh-Vb9toI
Paul Christofanelli,https://www.google.com/maps/contrib/117168484510029462966/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu-Y_oDOWoO1iKx8kqYVHyUJ4sFIkr1IYVRf52HkLw=s128-c0x00000000-cc-rp-mo,5,2 months ago,"Great place, nice wine selections, nice pours, chocolate with the port, everything one could want!",1661637134,False,ChIJWVWjowhXwVQRRF_91U0QSSE
Patrick Zeno,https://www.google.com/maps/contrib/107189907693219940942/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu3zjPffHSp1xTWkXL1loafwpXcETpiMOA-9bSOK=s128-c0x00000000-cc-rp-mo,5,4 years ago,Amazing wine at an incredible value. Very nice owners. Such an enjoyable experience,1535677093,False,ChIJsVlqYtQZxFQRSbA2voG7-V4
Charlie Smith,https://www.google.com/maps/contrib/111573127242603266939/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu3Apvghu4tuxqzXWRAQwpfPwi5WdooCkeXgHfTT=s128-c0x00000000-cc-rp-mo-ba4,5,a year ago,"Stopped here on a recommendation from someone on a dating app.  The folks at Balboa every effort to accommodate us despite being busy and us showing up on a whim.  Really nice wines (I really liked red grenache), great atmosphere, and lovely setting.  Minus two stars for Abbi the dog not immediately jumping into my lap.  Just kidding, give old Abbi some love!  Would return, no questions asked.  Speaking of questions, should I ask the person from a dating app out?",1630186645,False,ChIJ43Puwk1ColQR74SiPklMvqU
foodinyourfaceable,https://www.google.com/maps/contrib/103162228424781573332/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu_Uw_14alucQzCXgdFD937UC3DQiohs1lfzM0HeXQ=s128-c0x00000000-cc-rp-mo-ba4,5,4 years ago,"Fantastic tasting room!  Great place to stoo for small bites and a few samples of local wines. For the cheese-o-philes, these plates are made for you.  The servers have extensive knowledge of the wines and tasting notes.",1526175630,False,ChIJY4qS1W4OllQRvAyS2AuKE98
Hilary Austin,https://www.google.com/maps/contrib/109118929896564670609/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu-wFqZhMikrRE8beiva26eZq3Cr2aAVD8QXPlHIEg=s128-c0x00000000-cc-rp-mo,5,a year ago,"My friend and I are visiting from the gorge/Portland area and we loved it! The wines were amazing, and we loved hearing the stories behind them. Most of all the service was excellent. I have a 5 month old, and my friend and I were given a private room that wasn’t in use. It made my experience that much better to be able to relax. Thank you so much for making wine tasting so enjoyable.",1626545542,False,ChIJ83cw1mRqolQRhqvOeqZuGzY
Ell Smith,https://www.google.com/maps/contrib/106129744025882718164/reviews,en,en,https://lh3.googleusercontent.com/a/ALm5wu27VVtCSQ_6nynOImUqRQ06QnZHVBNTsVxIFP01=s128-c0x00000000-cc-rp-mo,5,7 years ago,Love their rose and pinot gris!,1441389827,False,ChIJl95UgqaglVQRSRPQqpfXGo8
Karen Burgess,https://www.google.com/maps/contrib/104571193519946614328/reviews,en,en,https://lh3.googleusercontent.com/a-/ACNPEu-wkl1aZH4WleqaBxYmMti0O5FBqxukOlsbej772Q=s128-c0x00000000-cc-rp-mo-ba2,5,9 years ago,We just had some of the 2009 Tempranillo Rose and it was lovely.,1359264732,False,ChIJH7sbavaFxVQR6oHcFnBl-04
