price,rating,bottle_name,review_link,source,Designation,Winery,Alcohol,Bottle Size,Category,Date Published,style,vintage,AVA,Region,Province,Country,Varietal
$13,88,The Great Oregon Wine Company 2021 Rascal Pinot Noir (Oregon),https://www.winemag.com/buying-guide/the-great-oregon-wine-company-2021-rascal-pinot-noir-oregon/,Wine Enthusiast,Rascal,The Great Oregon Wine Company,13.3%,750 ml,Red,10/1/2022,,2021,,Oregon Other,Oregon,US,Pinot Noir
$19,86,Wine by Joe 2019 Pinot Noir (Oregon),https://www.winemag.com/buying-guide/wine-by-joe-2019-pinot-noir-oregon/,Wine Enthusiast,,Wine by Joe,13.5%,750 ml,Red,10/1/2022,,2019,,Oregon Other,Oregon,US,Pinot Noir
$15,88,Duck Pond Cellars 2021 Oregon Wine Co. Chardonnay (Oregon),https://www.winemag.com/buying-guide/duck-pond-cellars-2021-oregon-wine-co-chardonnay-oregon/,Wine Enthusiast,Oregon Wine Co.,Duck Pond Cellars,13.2%,750 ml,White,9/1/2022,,2021,,Oregon Other,Oregon,US,Chardonnay
$75,92,Domaine Drouhin 2019 Laurene Pinot Noir (Dundee Hills),https://www.winemag.com/buying-guide/domaine-drouhin-2019-laurene-pinot-noir-dundee-hills/,Wine Enthusiast,Laurene,Domaine Drouhin,13.9%,750 ml,Red,7/1/2022,,2019,Dundee Hills,Willamette Valley,Oregon,US,Pinot Noir
$40,90,Portlandia 2019 Momtazi Vineyard Pinot Noir (Willamette Valley),https://www.winemag.com/buying-guide/portlandia-2019-momtazi-vineyard-pinot-noir-willamette-valley/,Wine Enthusiast,Momtazi Vineyard,Portlandia,13.5%,750 ml,Red,7/1/2022,,2019,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$33,88,Matzinger Davies 2018 Unabridged Sauvignon Blanc (Columbia Gorge (OR)),https://www.winemag.com/buying-guide/matzinger-davies-2018-unabridged-sauvignon-blanc-columbia-gorge-or/,Wine Enthusiast,Unabridged,Matzinger Davies,13.5%,750 ml,White,7/1/2022,,2018,Columbia Gorge (OR),Oregon Other,Oregon,US,Sauvignon Blanc
$33,93,Élevée Winegrowers 2020 Ridgecrest Vineyard Riesling (Ribbon Ridge),https://www.winemag.com/buying-guide/elevee-winegrowers-2020-ridgecrest-vineyard-riesling-ribbon-ridge/,Wine Enthusiast,Ridgecrest Vineyard,Élevée Winegrowers,11.5%,750 ml,White,5/1/2022,,2020,Ribbon Ridge,Willamette Valley,Oregon,US,Riesling
$90,91,Granville 2017 Holstein Vineyard Blanc de Noir Sparkling (Dundee Hills),https://www.winemag.com/buying-guide/granville-2017-holstein-vineyard-blanc-de-noir-sparkling-dundee-hills/,Wine Enthusiast,Holstein Vineyard Blanc de Noir,Granville,12%,750 ml,Sparkling,5/1/2022,"['Sparkling Blend', ' Sparkling']",2017,Dundee Hills,Willamette Valley,Oregon,US,Blend
$25,88,Ashlyn 2019 Pinot Noir (Willamette Valley),https://www.winemag.com/buying-guide/ashlyn-2019-pinot-noir-willamette-valley/,Wine Enthusiast,,Ashlyn,13.9%,750 ml,Red,5/1/2022,,2019,Willamette Valley,Willamette Valley,Oregon,US,Pinot Noir
$55,97,Domaine Divio 2020 Chardonnay (Willamette Valley),https://www.winemag.com/buying-guide/domaine-divio-2020-chardonnay-willamette-valley/,Wine Enthusiast,,Domaine Divio,13.3%,750 ml,White,4/1/2022,,2020,Willamette Valley,Willamette Valley,Oregon,US,Chardonnay
