,price,rating,bottle_name,region,review_link,source,Price,Designation,Variety,Appellation,Winery,Alcohol,Bottle Size,Category,Date Published,User Avg Rating,Importer
0,$13,88,The Great Oregon Wine Company 2021 Rascal Pinot Noir (Oregon),Oregon Other,https://www.winemag.com/buying-guide/the-great-oregon-wine-company-2021-rascal-pinot-noir-oregon/,Wine Enthusiast,"['$13', 'Buy Now']",['Rascal'],['Pinot Noir'],"['Oregon', ' Oregon Other', ' Oregon', ' US']",['The Great Oregon Wine Company'],['13.3%'],['750 ml'],['Red'],['10/1/2022'],['Not rated yet [Add Your Review]'],
1,$19,86,Wine by Joe 2019 Pinot Noir (Oregon),Oregon Other,https://www.winemag.com/buying-guide/wine-by-joe-2019-pinot-noir-oregon/,Wine Enthusiast,"['$19', 'Buy Now']",,['Pinot Noir'],"['Oregon', ' Oregon Other', ' Oregon', ' US']",['Wine by Joe'],['13.5%'],['750 ml'],['Red'],['10/1/2022'],['Not rated yet [Add Your Review]'],
2,$15,88,Duck Pond Cellars 2021 Oregon Wine Co. Chardonnay (Oregon),Oregon Other,https://www.winemag.com/buying-guide/duck-pond-cellars-2021-oregon-wine-co-chardonnay-oregon/,Wine Enthusiast,"['$15', 'Buy Now']",['Oregon Wine Co.'],['Chardonnay'],"['Oregon', ' Oregon Other', ' Oregon', ' US']",['Duck Pond Cellars'],['13.2%'],['750 ml'],['White'],['9/1/2022'],['Not rated yet [Add Your Review]'],
3,$75,92,Domaine Drouhin 2019 Laurene Pinot Noir (Dundee Hills),Willamette Valley,https://www.winemag.com/buying-guide/domaine-drouhin-2019-laurene-pinot-noir-dundee-hills/,Wine Enthusiast,"['$75', 'Buy Now']",['Laurene'],['Pinot Noir'],"['Dundee Hills', ' Willamette Valley', ' Oregon', ' US']",['Domaine Drouhin'],['13.9%'],['750 ml'],['Red'],['7/1/2022'],['Not rated yet [Add Your Review]'],
4,$40,90,Portlandia 2019 Momtazi Vineyard Pinot Noir (Willamette Valley),Willamette Valley,https://www.winemag.com/buying-guide/portlandia-2019-momtazi-vineyard-pinot-noir-willamette-valley/,Wine Enthusiast,"['$40', 'Buy Now']",['Momtazi Vineyard'],['Pinot Noir'],"['Willamette Valley', ' Willamette Valley', ' Oregon', ' US']",['Portlandia'],['13.5%'],['750 ml'],['Red'],['7/1/2022'],['Not rated yet [Add Your Review]'],
5,$33,88,Matzinger Davies 2018 Unabridged Sauvignon Blanc (Columbia Gorge (OR)),Oregon Other,https://www.winemag.com/buying-guide/matzinger-davies-2018-unabridged-sauvignon-blanc-columbia-gorge-or/,Wine Enthusiast,"['$33', 'Buy Now']",['Unabridged'],['Sauvignon Blanc'],"['Columbia Gorge (OR)', ' Oregon Other', ' Oregon', ' US']",['Matzinger Davies'],['13.5%'],['750 ml'],['White'],['7/1/2022'],['Not rated yet [Add Your Review]'],
6,$33,93,Élevée Winegrowers 2020 Ridgecrest Vineyard Riesling (Ribbon Ridge),Willamette Valley,https://www.winemag.com/buying-guide/elevee-winegrowers-2020-ridgecrest-vineyard-riesling-ribbon-ridge/,Wine Enthusiast,"['$33', 'Buy Now']",['Ridgecrest Vineyard'],['Riesling'],"['Ribbon Ridge', ' Willamette Valley', ' Oregon', ' US']",['Élevée Winegrowers'],['11.5%'],['750 ml'],['White'],['5/1/2022'],['Not rated yet [Add Your Review]'],
7,$90,91,Granville 2017 Holstein Vineyard Blanc de Noir Sparkling (Dundee Hills),Willamette Valley,https://www.winemag.com/buying-guide/granville-2017-holstein-vineyard-blanc-de-noir-sparkling-dundee-hills/,Wine Enthusiast,"['$90', 'Buy Now']",['Holstein Vineyard Blanc de Noir'],"['Sparkling Blend', ' Sparkling']","['Dundee Hills', ' Willamette Valley', ' Oregon', ' US']",['Granville'],['12%'],['750 ml'],['Sparkling'],['5/1/2022'],['Not rated yet [Add Your Review]'],
8,$25,88,Ashlyn 2019 Pinot Noir (Willamette Valley),Willamette Valley,https://www.winemag.com/buying-guide/ashlyn-2019-pinot-noir-willamette-valley/,Wine Enthusiast,"['$25', 'Buy Now']",,['Pinot Noir'],"['Willamette Valley', ' Willamette Valley', ' Oregon', ' US']",['Ashlyn'],['13.9%'],['750 ml'],['Red'],['5/1/2022'],['Not rated yet [Add Your Review]'],
9,$55,97,Domaine Divio 2020 Chardonnay (Willamette Valley),Willamette Valley,https://www.winemag.com/buying-guide/domaine-divio-2020-chardonnay-willamette-valley/,Wine Enthusiast,"['$55', 'Buy Now']",,['Chardonnay'],"['Willamette Valley', ' Willamette Valley', ' Oregon', ' US']",['Domaine Divio'],['13.3%'],['750 ml'],['White'],['4/1/2022'],['Not rated yet [Add Your Review]'],
10,$48,94,Day 2019 Belle Pente Vineyard Chardonnay (Yamhill-Carlton),Willamette Valley,https://www.winemag.com/buying-guide/day-2019-belle-pente-vineyard-chardonnay-yamhill-carlton/,Wine Enthusiast,"['$48', 'Buy Now']",['Belle Pente Vineyard'],['Chardonnay'],"['Yamhill-Carlton', ' Willamette Valley', ' Oregon', ' US']",['Day'],['12.3%'],['750 ml'],['White'],['4/1/2022'],['Not rated yet [Add Your Review]'],
11,$54,93,Day 2019 Momtazi Vineyard Pinot Noir (McMinnville),Willamette Valley,https://www.winemag.com/buying-guide/day-2019-momtazi-vineyard-pinot-noir-mcminnville/,Wine Enthusiast,"['$54', 'Buy Now']",['Momtazi Vineyard'],['Pinot Noir'],"['McMinnville', ' Willamette Valley', ' Oregon', ' US']",['Day'],['13.2%'],['750 ml'],['Red'],['4/1/2022'],['Not rated yet [Add Your Review]'],
12,$95,92,Adelsheim 2015 Sparkling Blanc de Blancs Sparkling (Willamette Valley),Willamette Valley,https://www.winemag.com/buying-guide/adelsheim-2015-sparkling-blanc-de-blancs-sparkling-willamette-valley/,Wine Enthusiast,"['$95', 'Buy Now']",['Sparkling Blanc de Blancs'],"['Sparkling Blend', ' Sparkling']","['Willamette Valley', ' Willamette Valley', ' Oregon', ' US']",['Adelsheim'],['12.5%'],['750 ml'],['Sparkling'],['4/1/2022'],['Not rated yet [Add Your Review]'],
13,$35,92,Alexana 2019 Terroir Series Chardonnay (Willamette Valley),Willamette Valley,https://www.winemag.com/buying-guide/alexana-2019-terroir-series-chardonnay-willamette-valley/,Wine Enthusiast,"['$35', 'Buy Now']",['Terroir Series'],['Chardonnay'],"['Willamette Valley', ' Willamette Valley', ' Oregon', ' US']",['Alexana'],['13.2%'],['750 ml'],['White'],['4/1/2022'],['Not rated yet [Add Your Review]'],
14,$24,90,Day 2020 Isla Vermentino (Applegate Valley),Southern Oregon,https://www.winemag.com/buying-guide/day-2020-isla-vermentino-applegate-valley/,Wine Enthusiast,"['$24', 'Buy Now']",['Isla'],"['Vermentino', ' Italian White']","['Applegate Valley', ' Southern Oregon', ' Oregon', ' US']",['Day'],['13%'],['750 ml'],['White'],['4/1/2022'],['Not rated yet [Add Your Review]'],
15,$18,90,Domaine Loubejac 2020 Chardonnay (Willamette Valley),Willamette Valley,https://www.winemag.com/buying-guide/domaine-loubejac-2020-chardonnay-willamette-valley/,Wine Enthusiast,"['$18', 'Buy Now']",,['Chardonnay'],"['Willamette Valley', ' Willamette Valley', ' Oregon', ' US']",['Domaine Loubejac'],['13.3%'],['750 ml'],['White'],['4/1/2022'],['Not rated yet [Add Your Review]'],
16,N/A,88,J. Christopher 2020 Cristo Irresisto Oregon Pink Wine Rosé (Oregon),Oregon Other,https://www.winemag.com/buying-guide/j-christopher-2020-cristo-irresisto-oregon-pink-wine-rose-oregon/,Wine Enthusiast,"['N/A', 'Buy Now']",['Cristo Irresisto Oregon Pink Wine'],['Rosé'],"['Oregon', ' Oregon Other', ' Oregon', ' US']",['J. Christopher'],['13%'],['750 ml'],['Rose'],['4/1/2022'],['Not rated yet [Add Your Review]'],
17,$23,88,Chris Baker 2020 Pinot Gris (Willamette Valley),Willamette Valley,https://www.winemag.com/buying-guide/chris-baker-2020-pinot-gris-willamette-valley/,Wine Enthusiast,"['$23', 'Buy Now']",,['Pinot Gris'],"['Willamette Valley', ' Willamette Valley', ' Oregon', ' US']",['Chris Baker'],['13%'],['750 ml'],['White'],['4/1/2022'],['Not rated yet [Add Your Review]'],
18,$35,87,Big Red Barn 2018 Pinot Noir (Willamette Valley),Willamette Valley,https://www.winemag.com/buying-guide/big-red-barn-2018-pinot-noir-willamette-valley/,Wine Enthusiast,"['$35', 'Buy Now']",,['Pinot Noir'],"['Willamette Valley', ' Willamette Valley', ' Oregon', ' US']",['Big Red Barn'],['13.4%'],['750 ml'],['Red'],['4/1/2022'],['Not rated yet [Add Your Review]'],
19,$30,86,Big Red Barn 2020 Chardonnay (Willamette Valley),Willamette Valley,https://www.winemag.com/buying-guide/big-red-barn-2020-chardonnay-willamette-valley/,Wine Enthusiast,"['$30', 'Buy Now']",,['Chardonnay'],"['Willamette Valley', ' Willamette Valley', ' Oregon', ' US']",['Big Red Barn'],['12.8%'],['750 ml'],['White'],['4/1/2022'],['Not rated yet [Add Your Review]'],
20,$33,86,Scott Kelley 2020 Chardonnay (Oregon),Oregon Other,https://www.winemag.com/buying-guide/scott-kelley-2020-chardonnay-oregon/,Wine Enthusiast,"['$33', 'Buy Now']",,['Chardonnay'],"['Oregon', ' Oregon Other', ' Oregon', ' US']",['Scott Kelley'],['13.5%'],['750 ml'],['White'],['4/1/2022'],['Not rated yet [Add Your Review]'],
21,$22,85,Elouan 2019 Pinot Noir (Oregon),Oregon Other,https://www.winemag.com/buying-guide/elouan-2019-pinot-noir-oregon/,Wine Enthusiast,"['$22', 'Buy Now']",,['Pinot Noir'],"['Oregon', ' Oregon Other', ' Oregon', ' US']",['Elouan'],['13.6%'],['750 ml'],['Red'],['4/1/2022'],['Not rated yet [Add Your Review]'],
22,$40,95,Shea 2018 Chardonnay (Willamette Valley),Willamette Valley,https://www.winemag.com/buying-guide/shea-2018-chardonnay-willamette-valley/,Wine Enthusiast,"['$40', 'Buy Now']",,['Chardonnay'],"['Willamette Valley', ' Willamette Valley', ' Oregon', ' US']",['Shea'],['13.2%'],['750 ml'],['White'],['3/1/2022'],['Not rated yet [Add Your Review]'],
23,$35,95,Drouhin Oregon Roserock 2019 Chardonnay (Eola-Amity Hills),Willamette Valley,https://www.winemag.com/buying-guide/drouhin-oregon-roserock-2019-chardonnay-eola-amity-hills/,Wine Enthusiast,"['$35', 'Buy Now']",,['Chardonnay'],"['Eola-Amity Hills', ' Willamette Valley', ' Oregon', ' US']",['Drouhin Oregon Roserock'],['13.9%'],['750 ml'],['White'],['3/1/2022'],['Not rated yet [Add Your Review]'],
24,$65,93,Drouhin Oregon Roserock 2018 Zéphirine Pinot Noir (Eola-Amity Hills),Willamette Valley,https://www.winemag.com/buying-guide/drouhin-oregon-roserock-2018-zephirine-pinot-noir-eola-amity-hills/,Wine Enthusiast,"['$65', 'Buy Now']",['Zéphirine'],['Pinot Noir'],"['Eola-Amity Hills', ' Willamette Valley', ' Oregon', ' US']",['Drouhin Oregon Roserock'],['14.1%'],['750 ml'],['Red'],['3/1/2022'],['Not rated yet [Add Your Review]'],
25,$45,93,Shea 2018 Estate Pinot Noir (Willamette Valley),Willamette Valley,https://www.winemag.com/buying-guide/shea-2018-estate-pinot-noir-willamette-valley/,Wine Enthusiast,"['$45', 'Buy Now']",['Estate'],['Pinot Noir'],"['Willamette Valley', ' Willamette Valley', ' Oregon', ' US']",['Shea'],['14.6%'],['750 ml'],['Red'],['3/1/2022'],['Not rated yet [Add Your Review]'],
