,vintage,score,release_price,bottle_name,winery,review_text,Magazine,review_link,Region,source
0,"<td class=""d-none d-md-table-cell border-0"">2021</td>","<td class=""d-none d-md-table-cell border-0"">90</td>","<td class=""d-none d-md-table-cell border-0"">$20</td>",Chardonnay Willamette Valley Inox Unoaked,Chehalem,"A dynamic white, with spirited lemon and lime flavors that sail on the crisp, vibrant and steely finish. Drink now. 9,100 cases made.","Magazine Issue Nov 15, 2022",https://www.winespectator.com/wine/wine-detail/id/1288804/name/chehalem-chardonnay-willamette-valley-inox-unoaked-2021,"['Oregon', 'Willamette Valley']",Wine Spectator
1,"<td class=""d-none d-md-table-cell border-0"">2021</td>","<td class=""d-none d-md-table-cell border-0"">90</td>","<td class=""d-none d-md-table-cell border-0"">$22</td>",Pinot Gris Willamette Valley,Elk Cove,"Luscious yet crisp and refreshing, with lively apricot, fresh fig and spice flavors that finish on a polished note. Drink now. 7,711 cases made.","Magazine Issue Sep 30, 2022",https://www.winespectator.com/wine/wine-detail/id/1288876/name/elk-cove-pinot-gris-willamette-valley-2021,"['Oregon', 'Willamette Valley']",Wine Spectator
2,"<td class=""d-none d-md-table-cell border-0"">2021</td>","<td class=""d-none d-md-table-cell border-0"">89</td>","<td class=""d-none d-md-table-cell border-0"">$16</td>",Chardonnay Oregon,A to Z Wineworks,"A delicious quaff, this white is a fruit bomb of tropical fruit, pear and spice, finishing on a supple yet crisp note. Drink now. 50,000 cases made.","Magazine Issue Nov 15, 2022",https://www.winespectator.com/wine/wine-detail/id/1288281/name/a-to-z-wineworks-chardonnay-oregon-2021,['Oregon'],Wine Spectator
3,"<td class=""d-none d-md-table-cell border-0"">2021</td>","<td class=""d-none d-md-table-cell border-0"">89</td>","<td class=""d-none d-md-table-cell border-0"">$21</td>",Pinot Gris Willamette Valley,The Four Graces,"Fleshy and polished, with supple pear, fresh fig and cinnamon flavors that end on a rich accent. Drink now. 10,656 cases made.","Magazine Issue Sep 30, 2022",https://www.winespectator.com/wine/wine-detail/id/1289291/name/the-four-graces-pinot-gris-willamette-valley-2021,"['Oregon', 'Willamette Valley']",Wine Spectator
4,"<td class=""d-none d-md-table-cell border-0"">2021</td>","<td class=""d-none d-md-table-cell border-0"">89</td>","<td class=""d-none d-md-table-cell border-0"">$18</td>",Pinot Gris Willamette Valley,Willamette Valley Vineyards,"Sleek and delicate yet vibrant, with jasmine flower, pear and lemon flavors that glide on the supple finish. Drink now. 31,000 cases made.","Magazine Issue Sep 30, 2022",https://www.winespectator.com/wine/wine-detail/id/1289792/name/willamette-valley-vineyards-pinot-gris-willamette-valley-2021,"['Oregon', 'Willamette Valley']",Wine Spectator
5,"<td class=""d-none d-md-table-cell border-0"">2021</td>","<td class=""d-none d-md-table-cell border-0"">88</td>","<td class=""d-none d-md-table-cell border-0"">$16</td>",Rosé Oregon,A to Z Wineworks,"Presents pretty violet and strawberry aromas that open to succulent, fruit-forward cherry flavors. Sangiovese, Syrah, Zinfandel, Tempranillo and Malbec. Drink now. 12,500 cases made.",Magazine Issue Web Only - 2022,https://www.winespectator.com/wine/wine-detail/id/1288286/name/a-to-z-wineworks-ros%C3%A9-oregon-2021,['Oregon'],Wine Spectator
6,"<td class=""d-none d-md-table-cell border-0"">2021</td>","<td class=""d-none d-md-table-cell border-0"">88</td>","<td class=""d-none d-md-table-cell border-0"">$16</td>",Chardonnay Oregon,Acrobat,"Easygoing, with pineapple and peach flavors that finish on a spicy, sweet accent. Drink now. 3,107 cases made.","Magazine Issue Nov 15, 2022",https://www.winespectator.com/wine/wine-detail/id/1291089/name/acrobat-chardonnay-oregon-2021,['Oregon'],Wine Spectator
7,"<td class=""d-none d-md-table-cell border-0"">2021</td>","<td class=""d-none d-md-table-cell border-0"">88</td>","<td class=""d-none d-md-table-cell border-0"">$19</td>",Grenache Rogue Valley Rosé,Del Rio,"A lively blush, with snappy raspberry and peach flavors that finish on a spicy note. Drink now. 1,700 cases made.","Magazine Issue Sep 30, 2022",https://www.winespectator.com/wine/wine-detail/id/1289333/name/del-rio-grenache-rogue-valley-ros%C3%A9-2021,"['Oregon', 'Southern Oregon', 'Rogue Valley']",Wine Spectator
8,"<td class=""d-none d-md-table-cell border-0"">2021</td>","<td class=""d-none d-md-table-cell border-0"">88</td>","<td class=""d-none d-md-table-cell border-0"">$20</td>",Rosé Oregon,Elouan,"Juicy and easygoing, with raspberry and toasty spice flavors. Drink now. 6,900 cases made.",Magazine Issue Web Only - 2022,https://www.winespectator.com/wine/wine-detail/id/1288408/name/elouan-ros%C3%A9-oregon-2021,['Oregon'],Wine Spectator
9,"<td class=""d-none d-md-table-cell border-0"">2021</td>","<td class=""d-none d-md-table-cell border-0"">88</td>","<td class=""d-none d-md-table-cell border-0"">$19</td>",Pinot Noir Willamette Valley Rosé,King Estate,"Sleek and snappy, with expressive strawberry and watermelon flavors. Drink now. 4,000 cases made.","Magazine Issue Jul 31, 2022",https://www.winespectator.com/wine/wine-detail/id/1288095/name/king-estate-pinot-noir-willamette-valley-ros%C3%A9-2021,"['Oregon', 'Willamette Valley']",Wine Spectator
